ï»¿ANNEE,SECTEUR_FORMT,PROGR,SEXE,PERSO_DIPLM_VISEES,TAUX_REPONSE_%,EN_EMPLOI_31_MARS_%,EN_RECHR_EMPLOI_31_MARS_%,AUX_ETUDES_31_MARS_%,INACTIVES_31_MARS_%,TAUX_CHOMAGE_31_MARS_%,EMPLOI_A_TEMPS_PLEIN_31_MARS_%,SALR_HEBDO_BRUT_MOYEN_31_MARS_$,EN_LIEN_AVEC_FORMT_31_MARS_%,EN_EMPLOI_1_JUIN_%,EN_RECHR_EMPLOI_1_JUIN_%,AUX_ÃTUDES_1_JUIN_%,INACTIVES_1_JUIN_%,TAUX_CHOMAGE_1_JUIN_%
2011,Administration/commerce et informatique,5227 SecrÃ©tariat mÃ©dical,Ensemble,296,48.3,89.5,7,0.7,2.8,7.2,81.3,584.9,84.6,87.4,9.1,0.7,2.8,9.4
2011,Administration/commerce et informatique,5229 Soutien informatique,Ensemble,478,61.3,66.2,10.6,21.5,1.7,13.8,86.6,589.9,75.6,64.2,10.9,22.9,2,14.5
2011,Administration/commerce et informatique,5229 Soutien informatique,Femmes,44,68.2,56.7,13.3,26.7,3.3,19,76.5,583.1,61.5,63.3,10,26.7,0,13.6
2011,Administration/commerce et informatique,5229 Soutien informatique,Hommes,434,60.6,67.3,10.3,20.9,1.5,13.2,87.6,590.3,76.8,64.3,11,22.4,2.3,14.6
2011,Administration/commerce et informatique,5231 ComptabilitÃ©,Ensemble,1346,59.4,77.8,11.3,5.5,5.5,12.6,86.8,552.2,76.9,78.5,8.9,6.3,6.4,10.2
2011,Administration/commerce et informatique,5231 ComptabilitÃ©,Femmes,1145,60.1,77.8,11.3,4.9,6,12.7,86.4,547.4,77.5,77.8,9.7,5.8,6.7,11.1
2011,Administration/commerce et informatique,5231 ComptabilitÃ©,Hommes,201,55.7,77.7,10.7,8.9,2.7,12.1,89.7,582.4,73.1,83,3.6,8.9,4.5,4.1
2011,Administration/commerce et informatique,5321 Vente-conseil,Ensemble,650,56.8,73.2,8.4,14.9,3.5,10.3,87,632.4,74.5,73.4,6,15.2,5.4,7.5
2011,Administration/commerce et informatique,5321 Vente-conseil,Femmes,280,53.9,68.9,7.9,18.5,4.6,10.3,79.8,564.1,71.1,68.2,6,18.5,7.3,8
2011,Administration/commerce et informatique,5321 Vente-conseil,Hommes,370,58.9,76.1,8.7,12.4,2.8,10.3,91.6,670,76.3,77.1,6,12.8,4.1,7.2
2011,Administration/commerce et informatique,5323 ReprÃ©sentation,Ensemble,601,52.1,78.9,5.4,8.9,6.7,6.4,87,712.3,74,80.8,4.2,9.3,5.8,4.9
2011,Administration/commerce et informatique,5357 SecrÃ©tariat,Ensemble,1606,60,79.1,7.7,8.8,4.4,8.9,85.6,571.2,85.1,80.3,5.5,9.1,5.1,6.4
2011,Administration/commerce et informatique,5726 Secretarial Studies - Legal,Ensemble,31,51.6,43.8,18.8,25,12.5,30,100,550,71.4,37.5,12.5,31.3,18.8,25
2011,Administration/commerce et informatique,5731 Accounting,Ensemble,351,46.7,59.1,18.9,13.4,8.5,24.2,83.5,570.7,58,56.7,18.9,14,10.4,25
2011,Administration/commerce et informatique,5731 Accounting,Femmes,277,46.2,57,18,14.8,10.2,24,84.9,543,59.7,53.9,18.8,15.6,11.7,25.8
2011,Administration/commerce et informatique,5731 Accounting,Hommes,74,48.6,66.7,22.2,8.3,2.8,25,79.2,653.9,52.6,66.7,19.4,8.3,5.6,22.6
2011,Administration/commerce et informatique,5821 Professional Sales,Ensemble,28,53.6,66.7,6.7,20,6.7,9.1,80,544.5,87.5,60,13.3,20,6.7,18.2
2011,Administration/commerce et informatique,5857 Secretarial Studies,Ensemble,158,46.8,71.6,17.6,9.5,1.4,19.7,75.5,542.7,70,67.6,17.6,10.8,4.1,20.6
2011,Agriculture et pÃªches,5173 Fleuristerie,Ensemble,110,59.1,69.2,7.7,12.3,10.8,10,60,410.4,55.6,66.2,12.3,12.3,9.2,15.7
2011,Agriculture et pÃªches,5254 Grandes cultures,Ensemble,13,61.5,87.5,0,12.5,0,0,100,620,100,87.5,0,12.5,0,0
2011,Agriculture et pÃªches,5256 Production acÃ©ricole,Ensemble,25,80,85,10,0,5,10.5,100,673,70.6,95,0,0,5,0
2011,Agriculture et pÃªches,5257 PÃªche professionnelle,Ensemble,22,81.8,50,27.8,0,22.2,35.7,77.8,1065.8,85.7,100,0,0,0,0
2011,Agriculture et pÃªches,5288 Horticulture et jardinerie,Ensemble,160,54.4,50.6,14.9,23,11.5,22.8,84.1,596,78.4,71.3,0,23,5.7,0
2011,Agriculture et pÃªches,5288 Horticulture et jardinerie,Femmes,129,52.7,48.5,16.2,22.1,13.2,25,81.8,586.9,85.2,72.1,0,22.1,5.9,0
2011,Agriculture et pÃªches,5288 Horticulture et jardinerie,Hommes,31,61.3,57.9,10.5,26.3,5.3,15.4,90.9,618.5,60,68.4,0,26.3,5.3,0
