TRONCON,SUPERFICIE,IND_INFLUENCE,NIVEAU_CONFIANCE,REFERENCE,AMP_H30_RCP4,AMP_H30_RCP8,AMP_H50_RCP4,AMP_H50_RCP8,AMP_H80_RCP4,AMP_H80_RCP8,DIR_H30_RCP4,DIR_H30_RCP8,DIR_H50_RCP4,DIR_H50_RCP8,DIR_H80_RCP4,DIR_H80_RCP8
"ABI0002",22622,"Aucune influence","Limit̩e",5.2,-13.6,-16.4,-18.8,-24.7,-21.8,-38.9,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0003",11584,"Aucune influence","Limit̩e",3.8,-14.5,-16.2,-18.2,-24.1,-20,-37.2,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0004",275,"Aucune influence","Limit̩e",3.8,-10.4,-13.2,-12.6,-18.5,-14.6,-26.4,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0011",11123,"Aucune influence","Limit̩e",3.8,-14.7,-16.4,-18.5,-24.5,-20.3,-37.7,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0012",8080,"Aucune influence","Limit̩e",4,-15,-17.2,-18.8,-24.9,-20.9,-39.7,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0013",7376,"Aucune influence","Limit̩e",4.1,-15.3,-17.5,-19.3,-25.3,-21.5,-40.5,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0014",1087,"Aucune influence","Limit̩e",4.6,-17.2,-20.3,-21.1,-30.8,-24.8,-47.4,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0016",1042,"Aucune influence","Limit̩e",4.7,-17.5,-20.5,-21.6,-31.2,-25.3,-48.1,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0020",1007,"Aucune influence","Limit̩e",4.7,-17.7,-20.6,-21.7,-31.6,-25.6,-48.4,"Diminution probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
"ABI0028",865,"Aucune influence","Limit̩e",4.7,-19.1,-21.8,-23.5,-33.6,-27.6,-51.3,"Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable","Diminution tr̬s probable"
