NUMEROTATION,TYPE_SOINS,REGION,NOMBRE_DE_DEPARTS--FEM,NOMBRE_DE_DEPARTS--MASC,NOMBRE_DE_DEPARTS--TOT,SEJOUR_TOTAL--FEM,SEJOUR_TOTAL--MASC,SEJOUR_TOTAL--TOT,SEJOUR_MOYEN--FEM,SEJOUR_MOYEN--MASC,SEJOUR_MOYEN--TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01          Bas-Saint-Laurent,4,2,6,30,2,32,7.5,1.0,5.3,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
2,Soins physiques et psychiatriques de courte durée,02          Saguenay - Lac-Saint-Jean,176,127,303,4147,4114,8261,23.6,32.4,27.3,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
3,Soins physiques et psychiatriques de courte durée,03          Capitale-Nationale,742,534,1276,34644,30340,64984,46.7,56.8,50.9,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
4,Soins physiques et psychiatriques de courte durée,04          Mauricie et Centre-du-Québec,246,179,425,2698,2035,4733,11.0,11.4,11.1,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
5,Soins physiques et psychiatriques de courte durée,05          Estrie,256,196,452,8263,8140,16403,32.3,41.5,36.3,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
6,Soins physiques et psychiatriques de courte durée,06          Montréal,1444,1111,2555,60632,66900,127532,42.0,60.2,49.9,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
7,Soins physiques et psychiatriques de courte durée,07          Outaouais,193,131,324,10062,6931,16993,52.1,52.9,52.4,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
8,Soins physiques et psychiatriques de courte durée,08          Abitibi-Témiscamingue,81,72,153,7020,5722,12742,86.7,79.5,83.3,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
9,Soins physiques et psychiatriques de courte durée,09          Côte-Nord,27,17,44,4605,2359,6964,170.6,138.8,158.3,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
10,Soins physiques et psychiatriques de courte durée,10_Nord-du-Québec  17_Nunavik 18_Terres-Cries-de-la-Baie-James,1,0,1,4,0,4,4.0,0.0,4.0,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2016-04-01 et 2017-03-31, 18 octobre 2017
