NUMEROTATION,TYPE_SOINS,REGION,NOMBRE_DE_DEPARTS--FEM,NOMBRE_DE_DEPARTS--MASC,NOMBRE_DE_DEPARTS--TOT,SEJOUR_TOTAL--FEM,SEJOUR_TOTAL--MASC,SEJOUR_TOTAL--TOT,SEJOUR_MOYEN--FEM,SEJOUR_MOYEN--MASC,SEJOUR_MOYEN--TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01          Bas-Saint-Laurent,53,62,115,1094,2393,3487,20.60,38.60,30.30,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
2,Soins physiques et psychiatriques de courte durée,02          Saguenay - Lac-Saint-Jean,200,128,328,5933,5685,11618,29.70,44.40,35.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
3,Soins physiques et psychiatriques de courte durée,03          Capitale-Nationale,568,389,957,29597,21874,51471,52.10,56.20,53.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
4,Soins physiques et psychiatriques de courte durée,04          Mauricie et Centre-du-Québec,338,188,526,6554,3674,10228,19.40,19.50,19.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
5,Soins physiques et psychiatriques de courte durée,05          Estrie,122,87,209,2740,1957,4697,22.50,22.50,22.50,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
6,Soins physiques et psychiatriques de courte durée,06          Montréal,1347,1023,2370,48318,62422,110740,35.90,61.00,46.70,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
7,Soins physiques et psychiatriques de courte durée,07          Outaouais,171,124,295,13493,12704,26197,78.90,102.50,88.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
8,Soins physiques et psychiatriques de courte durée,08          Abitibi-Témiscamingue,108,73,181,9751,8830,18581,90.30,121.00,102.70,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
9,Soins physiques et psychiatriques de courte durée,09          Côte-Nord,38,31,69,4100,2379,6479,107.90,76.70,93.90,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
10,Soins physiques et psychiatriques de courte durée,10          Nord-du-Québec,1,0,1,98,0,98,98.00,0.00,98.00,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
11,Soins physiques et psychiatriques de courte durée,11          Gaspésie - Îles-de-la-Madeleine,38,40,78,886,850,1736,23.30,21.20,22.30,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
12,Soins physiques et psychiatriques de courte durée,12          Chaudière-Appalaches,122,95,217,1188,1050,2238,9.70,11.10,10.30,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
13,Soins physiques et psychiatriques de courte durée,13          Laval,293,188,481,12600,8502,21102,43.00,45.20,43.90,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
14,Soins physiques et psychiatriques de courte durée,14          Lanaudière,253,221,474,8803,8474,17277,34.80,38.30,36.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2012-04-01 et 2013-03-31, 5 octobre 2013
