NUMEROTATION,TYPE_SOINS,REGION,NOMBRE_DE_DEPARTS--FEM,NOMBRE_DE_DEPARTS--MASC,NOMBRE_DE_DEPARTS--TOT,SEJOUR_TOTAL--FEM,SEJOUR_TOTAL--MASC,SEJOUR_TOTAL--TOT,SEJOUR_MOYEN--FEM,SEJOUR_MOYEN--MASC,SEJOUR_MOYEN--TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01         Bas-Saint-Laurent,2,2,4,14,217,231,7.00,108.50,57.80,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
2,Soins physiques et psychiatriques de courte durée,02         SAGUENAY-LAC-SAINT-JEAN,199,134,333,3615,2773,6388,18.20,20.70,19.20,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
3,Soins physiques et psychiatriques de courte durée,03         Capitale-Nationale,587,443,1030,21631,19850,41481,36.90,44.80,40.30,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
4,Soins physiques et psychiatriques de courte durée,04         Mauricie et Centre-du-Québec,289,216,505,3906,3179,7085,13.50,14.70,14.00,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
5,Soins physiques et psychiatriques de courte durée,05         Estrie,128,82,210,3332,3524,6856,26.00,43.00,32.60,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
6,Soins physiques et psychiatriques de courte durée,06         Montréal,1182,916,2098,48381,52629,101010,40.90,57.50,48.10,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
7,Soins physiques et psychiatriques de courte durée,07         Outaouais,204,128,332,13762,8417,22179,67.50,65.80,66.80,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
8,Soins physiques et psychiatriques de courte durée,08         Abitibi-Témiscamingue,76,66,142,5199,4891,10090,68.40,74.10,71.10,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
9,Soins physiques et psychiatriques de courte durée,09         Côte-Nord,59,48,107,6331,16102,22433,107.30,335.50,209.70,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
10,Soins physiques et psychiatriques de courte durée,10           Nord-du-Québec,1,1,2,91,24,115,91.00,24.00,57.50,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
11,Soins physiques et psychiatriques de courte durée,11           GASPÉSIE-ÎLES-DE-LA-MADELEINE,47,29,76,1185,829,2014,25.20,28.60,26.50,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
12,Soins physiques et psychiatriques de courte durée,12           Chaudière-Appalaches,150,121,271,2582,2323,4905,17.20,19.20,18.10,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
13,Soins physiques et psychiatriques de courte durée,13           Laval,244,182,426,8273,6111,14384,33.90,33.60,33.80,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
14,Soins physiques et psychiatriques de courte durée,14           Lanaudière,267,195,462,7696,7718,15414,28.80,39.60,33.40,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
15,Soins physiques et psychiatriques de courte durée,15           Laurentides,508,345,853,14884,16754,31638,29.30,48.60,37.10,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
16,Soins physiques et psychiatriques de courte durée,16           Montérégie,1021,743,1764,35454,28456,63910,34.70,38.30,36.20,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
17,Soins physiques et psychiatriques de courte durée,TOTAL,4964,3651,8615,176336,173797,350133,35.52,47.60,40.64,Soins physiques et psychiatriques de courte durée,Entre 2015-04-01 et 2016-03-31, 29 novembre 2016
