NUMEROTATION,TYPE_SOINS,REGION,NOMBRE_DE_DEPARTS--FEM,NOMBRE_DE_DEPARTS--MASC,NOMBRE_DE_DEPARTS--TOT,SEJOUR_TOTAL--FEM,SEJOUR_TOTAL--MASC,SEJOUR_TOTAL--TOT,SEJOUR_MOYEN--FEM,SEJOUR_MOYEN--MASC,SEJOUR_MOYEN--TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01          Bas-Saint-Laurent,1,6,7,1,89,90,1.00,14.80,12.90,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
2,Soins physiques et psychiatriques de courte durée,02          Saguenay - Lac-Saint-Jean,225,160,385,4876,5164,10040,21.70,32.30,26.10,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
3,Soins physiques et psychiatriques de courte durée,03          Capitale-Nationale,539,393,932,22940,19225,42165,42.60,48.90,45.20,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
4,Soins physiques et psychiatriques de courte durée,04          Mauricie et Centre-du-Québec,305,178,483,5686,3271,8957,18.60,18.40,18.50,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
5,Soins physiques et psychiatriques de courte durée,05          Estrie,211,149,360,5909,4333,10242,28.00,29.10,28.40,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
6,Soins physiques et psychiatriques de courte durée,06          Montréal,1113,895,2008,31762,42354,74116,28.50,47.30,36.90,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
7,Soins physiques et psychiatriques de courte durée,07          Outaouais,145,125,270,11177,11761,22938,77.10,94.10,85.00,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
8,Soins physiques et psychiatriques de courte durée,08          Abitibi-Témiscamingue,114,79,193,11581,7665,19246,101.60,97.00,99.70,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
9,Soins physiques et psychiatriques de courte durée,09          Côte-Nord,86,56,142,9706,8795,18501,112.90,157.10,130.30,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
10,Soins physiques et psychiatriques de courte durée,11          Gaspésie - Îles-de-la-Madeleine,24,18,42,774,616,1390,32.20,34.20,33.10,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
11,Soins physiques et psychiatriques de courte durée,12          Chaudière-Appalaches,150,143,293,2024,2502,4526,13.50,17.50,15.40,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
12,Soins physiques et psychiatriques de courte durée,13          Laval,261,191,452,13688,10356,24044,52.40,54.20,53.20,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
13,Soins physiques et psychiatriques de courte durée,14          Lanaudière,291,245,536,10828,9781,20609,37.20,39.90,38.40,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
14,Soins physiques et psychiatriques de courte durée,15          Laurentides,485,368,853,15718,15549,31267,32.40,42.30,36.70,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
15,Soins physiques et psychiatriques de courte durée,16          Montérégie,982,783,1765,28795,31379,60174,29.30,40.10,34.10,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
16,Soins physiques et psychiatriques de courte durée,TOTAL,4932,3789,8721,175465,172840,348305,35.58,45.62,39.94,Soins physiques et psychiatriques de courte durée,Entre 2014-04-01 et 2015-03-31, 14 janvier 2016
