NUMEROTATION,TYPE_SOINS,REGION,NOMBRE_DE_DEPARTS--FEM,NOMBRE_DE_DEPARTS--MASC,NOMBRE_DE_DEPARTS--TOT,SEJOUR_TOTAL--FEM,SEJOUR_TOTAL--MASC,SEJOUR_TOTAL--TOT,SEJOUR_MOYEN--FEM,SEJOUR_MOYEN--MASC,SEJOUR_MOYEN--TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01          Bas-Saint-Laurent,43,41,84,1107,1646,2753,25.70,40.10,32.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
2,Soins physiques et psychiatriques de courte durée,02          Saguenay - Lac-Saint-Jean,165,133,298,8723,7303,16026,52.90,54.90,53.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
3,Soins physiques et psychiatriques de courte durée,03          Capitale-Nationale,548,394,942,27217,23102,50319,49.70,58.60,53.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
4,Soins physiques et psychiatriques de courte durée,04          Mauricie et Centre-du-Québec,295,199,494,4956,3159,8115,16.80,15.90,16.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
5,Soins physiques et psychiatriques de courte durée,05          Estrie,178,106,284,3877,3509,7386,21.80,33.10,26.00,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
6,Soins physiques et psychiatriques de courte durée,06          Montréal,1722,1242,2964,59941,61813,121754,34.80,49.80,41.10,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
7,Soins physiques et psychiatriques de courte durée,07          Outaouais,162,108,270,13551,10967,24518,83.60,101.50,90.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
8,Soins physiques et psychiatriques de courte durée,08          Abitibi-Témiscamingue,124,94,218,10384,8617,19001,83.70,91.70,87.20,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
9,Soins physiques et psychiatriques de courte durée,09          Côte-Nord,59,48,107,5137,4368,9505,87.10,91.00,88.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
10,Soins physiques et psychiatriques de courte durée,11          Gaspésie - Îles-de-la-Madeleine,50,37,87,1398,1070,2468,28.00,28.90,28.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
11,Soins physiques et psychiatriques de courte durée,12          Chaudière-Appalaches,129,112,241,1221,1569,2790,9.50,14.00,11.60,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
12,Soins physiques et psychiatriques de courte durée,13          Laval,288,218,506,10429,11089,21518,36.20,50.90,42.50,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
13,Soins physiques et psychiatriques de courte durée,14          Lanaudière,287,230,517,7124,6621,13745,24.80,28.80,26.60,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
14,Soins physiques et psychiatriques de courte durée,15          Laurentides,451,290,741,9362,7430,16792,20.80,25.60,22.70,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
15,Soins physiques et psychiatriques de courte durée,16          Montérégie,1011,688,1699,24751,24259,49010,24.50,35.30,28.80,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
16,Soins physiques et psychiatriques de courte durée,TOTAL,5512,3940,9452,189178,176522,365700,34.32,44.80,38.69,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,Entre 2011-04-01 et 2012-03-31, 3 octobre 2012
