NUMEROTATION,TYPE_DE_SOINS,REGION,NOMBRE_DE_DEPARTS—FEM,NOMBRE_DE_DEPARTS—MASC,NOMBRE_DE_DEPARTS—TOT,SEJOUR_TOTAL—FEM,SEJOUR_TOTAL—MASC,SEJOUR_TOTAL—TOT,SEJOUR_MOYEN—FEM,SEJOUR_MOYEN—MASC,SEJOUR_MOYEN—TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01 Bas-Saint-Laurent,11,8,19,236,80,316,21.5,10,16.6,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
2,Soins physiques et psychiatriques de courte durée,02 Saguenay-Lac-Saint-Jean,124,106,230,866,840,1706,7,7.9,7.4,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
3,Soins physiques et psychiatriques de courte durée,03 Capitale-Nationale,628,479,1107,15962,25990,41952,25.4,54.3,37.9,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
4,Soins physiques et psychiatriques de courte durée,04 Mauricie et Centre-du-Québec,91,84,175,1019,836,1855,11.2,10,10.6,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
5,Soins physiques et psychiatriques de courte durée,05 Estrie,265,231,496,7892,7373,15265,29.8,31.9,30.8,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
6,Soins physiques et psychiatriques de courte durée,06 Montréal,1433,1132,2565,29958,37642,67600,20.9,33.3,26.4,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
7,Soins physiques et psychiatriques de courte durée,07 Outaouais,106,77,183,2239,2463,4702,21.1,32,25.7,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
8,Soins physiques et psychiatriques de courte durée,08 Abitibi-Témiscamingue,67,67,134,2574,2910,5484,38.4,43.4,40.9,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
9,Soins physiques et psychiatriques de courte durée,09 Côte-Nord,27,16,43,8479,3001,11480,314,187.6,267,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
10,Soins physiques et psychiatriques de courte durée,11 Gaspésie-Îles-de-la-Madeleine,6,6,12,98,230,328,16.3,38.3,27.3,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
11,Soins physiques et psychiatriques de courte durée,12 Chaudière-Appalaches,52,46,98,552,536,1088,10.6,11.7,11.1,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
12,Soins physiques et psychiatriques de courte durée,13 Laval,121,103,224,3767,3071,6838,31.1,29.8,30.5,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
13,Soins physiques et psychiatriques de courte durée,14 Lanaudière,1523,1054,2577,15372,11539,26911,10.1,10.9,10.4,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
14,Soins physiques et psychiatriques de courte durée,15 Laurentides,439,340,779,8572,7847,16419,19.5,23.1,21.1,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
15,Soins physiques et psychiatriques de courte durée,16 Montérégie,958,715,1673,15889,16901,32790,16.6,23.6,19.6,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
16,Soins physiques et psychiatriques de courte durée,TOTAL,5851,4464,10315,113475,121259,234734,19.4,27.2,22.8,Titre du rapport « S11 – Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée  par région de traitement »,Entre 2018/04/01 et 2019/03/31, 2019-09-05
