NUMEROTATION,TYPE_DE_SOINS,REGION,NOMBRE_DE_DEPARTSFEM,NOMBRE_DE_DEPARTSMASC,NOMBRE_DE_DEPARTSTOT,SEJOUR_TOTALFEM,SEJOUR_TOTALMASC,SEJOUR_TOTALTOT,SEJOUR_MOYENFEM,SEJOUR_MOYENMASC,SEJOUR_MOYENTOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1
1,"Soins physiques et psychiatriques de courte durée","01 Bas-Saint-Laurent",15,8,23,216,213,429,14.4,26.6,18.7,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
2,"Soins physiques et psychiatriques de courte durée","02 Saguenay-Lac-Saint-Jean",229,183,412,2394,2002,4396,10.5,10.9,10.7,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
3,"Soins physiques et psychiatriques de courte durée","03 Capitale-Nationale",735,575,1310,13971,16815,30786,19.0,29.2,23.5,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
4,"Soins physiques et psychiatriques de courte durée","04 Mauricie et Centre-du-Québec",30,18,48,430,361,791,14.3,20.1,16.5,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
5,"Soins physiques et psychiatriques de courte durée","05 Estrie",1138,1000,2138,27624,25191,52815,24.3,25.2,24.7,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
6,"Soins physiques et psychiatriques de courte durée","06 Montréal",2745,2153,4898,52144,60623,112767,19.0,28.2,23.0,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
7,"Soins physiques et psychiatriques de courte durée","07 Outaouais",135,95,230,8524,6571,15095,63.1,69.2,65.6,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
8,"Soins physiques et psychiatriques de courte durée","08 Abitibi-Témiscamingue",37,60,97,772,1714,2486,20.9,28.6,25.6,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
9,"Soins physiques et psychiatriques de courte durée","09 Côte-Nord",51,49,100,3356,4643,7999,65.8,94.8,80.0,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
10,"Soins physiques et psychiatriques de courte durée","11 Gaspésie-Îles-de-la-Madeleine",11,9,20,430,594,1024,39.1,66.0,51.2,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
11,"Soins physiques et psychiatriques de courte durée","12 Chaudière-Appalaches",94,75,169,1676,1474,3150,17.8,19.7,18.6,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
12,"Soins physiques et psychiatriques de courte durée","13 Laval",278,242,520,9766,10793,20559,35.1,44.6,39.5,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
13,"Soins physiques et psychiatriques de courte durée","14 Lanaudière",1382,987,2369,10755,9453,20208,7.8,9.6,8.5,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
14,"Soins physiques et psychiatriques de courte durée","15 Laurentides",411,354,765,9978,9942,19920,24.3,28.1,26.0,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
15,"Soins physiques et psychiatriques de courte durée","16 Montérégie",883,754,1637,18154,21835,39989,20.6,29.0,24.4,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
16,"Soins physiques et psychiatriques de courte durée","17 Nunavik",0,2,2,0,3,3,0.0,1.5,1.5,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
17,"Soins physiques et psychiatriques de courte durée","TOTAL",8174,6564,14738,160190,172227,332417,19.6,26.2,22.6,"Titre du rapport « S11  Départs et séjour des usagers de soins de longue durée occupant un lit de courte durée, par région de traitement »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,"Les données avec sexe « indéterminé » sont incluses dans les totaux seulement."
