NUMEROTATION,TYPE_SOINS,REGION,NOMBRE_DE_DEPARTS--FEM,NOMBRE_DE_DEPARTS--MASC,NOMBRE_DE_DEPARTS--TOT,SEJOUR_TOTAL--FEM,SEJOUR_TOTAL--MASC,SEJOUR_TOTAL--TOT,SEJOUR_MOYEN--FEM,SEJOUR_MOYEN--MASC,SEJOUR_MOYEN--TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION
1,Soins physiques et psychiatriques de courte durée,01          Bas-Saint-Laurent,17,16,33,297,766,1063,17.50,47.90,32.20,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
2,Soins physiques et psychiatriques de courte durée,02          Saguenay - Lac-Saint-Jean,238,172,410,7076,8577,15653,29.70,49.90,38.20,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
3,Soins physiques et psychiatriques de courte durée,03          Capitale-Nationale,544,374,918,29743,28970,58713,54.70,77.50,64.00,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
4,Soins physiques et psychiatriques de courte durée,04          Mauricie et Centre-du-Québec,284,184,468,6982,4048,11030,24.60,22.00,23.60,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
5,Soins physiques et psychiatriques de courte durée,05          Estrie,147,110,257,3182,3264,6446,21.60,29.70,25.10,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
6,Soins physiques et psychiatriques de courte durée,06          Montréal,1079,886,1965,50702,57404,108106,47.00,64.80,55.00,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
7,Soins physiques et psychiatriques de courte durée,07          Outaouais,151,133,284,9822,8171,17993,65.00,61.40,63.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
8,Soins physiques et psychiatriques de courte durée,08          Abitibi-Témiscamingue,99,78,177,8605,8604,17209,86.90,110.30,97.20,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
9,Soins physiques et psychiatriques de courte durée,09          Côte-Nord,52,44,96,6166,4628,10794,118.60,105.20,112.40,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
10,Soins physiques et psychiatriques de courte durée,11          Gaspésie - Îles-de-la-Madeleine,23,16,39,474,427,901,20.60,26.70,23.10,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
11,Soins physiques et psychiatriques de courte durée,12          Chaudière-Appalaches,57,53,110,464,985,1449,8.10,18.60,13.20,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
12,Soins physiques et psychiatriques de courte durée,13          Laval,283,191,474,11488,10147,21635,40.60,53.10,45.60,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
13,Soins physiques et psychiatriques de courte durée,14          Lanaudière,261,239,500,9386,13612,22998,36.00,57.00,46.00,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
14,Soins physiques et psychiatriques de courte durée,15          Laurentides,456,309,765,12137,9987,22124,26.60,32.30,28.90,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
15,Soins physiques et psychiatriques de courte durée,16          Montérégie,1029,739,1768,28583,27974,56557,27.80,37.90,32.00,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
16,Soins physiques et psychiatriques de courte durée,TOTAL,4720,3544,8264,185107,187564,372671,39.22,52.92,45.10,S11-DÉPARTS ET SÉJOUR DES USAGERS DE SOINS DE LONGUE DURÉE OCCUPANT UN LIT DE COURTE DURÉE,2013-04-01 et 2014-03-31, 8 janvier 2015
