ANNEE,CATEGORIE,GROUPE,NOMBRE,POURCENTAGE
2018,Brigadier(-ière)s scolaires,Minorités visibles,64,"9,36%"
2018,Brigadier(-ière)s scolaires,Minorités ethniques,31,"4,53%"
2018,Brigadier(-ière)s scolaires,Femmes,377,"55,12%"
2018,Brigadier(-ière)s scolaires,Autochtones,1,"0,15%"
2018,Brigadier(-ière)s scolaires,Personnes handicapées,0,"0,00%"
2018,Cadres administratifs,Minorités visibles,138,"7,81%"
2018,Cadres administratifs,Minorités ethniques,88,"4,98%"
2018,Cadres administratifs,Femmes,817,"46,26%"
2018,Cadres administratifs,Autochtones,8,"0,45%"
2018,Cadres administratifs,Personnes handicapées,11,"0,62%"
2018,Cadres de direction,Minorités visibles,4,"1,94%"
2018,Cadres de direction,Minorités ethniques,4,"1,94%"
2018,Cadres de direction,Femmes,85,"41,26%"
2018,Cadres de direction,Autochtones,0,"0,00%"
2018,Cadres de direction,Personnes handicapées,2,"0,97%"
2018,Cadres non civils pompier(-ière)s,Minorités visibles,1,"1,49%"
2018,Cadres non civils pompier(-ière)s,Minorités ethniques,0,"0,00%"
2018,Cadres non civils pompier(-ière)s,Femmes,0,"0,00%"
2018,Cadres non civils pompier(-ière)s,Autochtones,0,"0,00%"
2018,Cadres non civils pompier(-ière)s,Personnes handicapées,0,"0,00%"
2018,Cadres policier(-ière)s,Minorités visibles,9,"8,04%"
2018,Cadres policier(-ière)s,Minorités ethniques,11,"9,82%"
2018,Cadres policier(-ière)s,Femmes,18,"16,07%"
2018,Cadres policier(-ière)s,Autochtones,1,"0,89%"
2018,Cadres policier(-ière)s,Personnes handicapées,0,"0,00%"
2018,Cols blancs,Minorités visibles,1967,"23,11%"
2018,Cols blancs,Minorités ethniques,704,"8,27%"
2018,Cols blancs,Femmes,4836,"56,81%"
2018,Cols blancs,Autochtones,18,"0,21%"
2018,Cols blancs,Personnes handicapées,66,"0,78%"
2018,Cols bleus,Minorités visibles,521,"10,88%"
2018,Cols bleus,Minorités ethniques,306,"6,39%"
2018,Cols bleus,Femmes,831,"17,35%"
2018,Cols bleus,Autochtones,17,"0,35%"
2018,Cols bleus,Personnes handicapées,83,"2,53%"
2018,Personnel policier syndiqué,Minorités visibles,342,"7,70%"
2018,Personnel policier syndiqué,Minorités ethniques,178,"4,01%"
2018,Personnel policier syndiqué,Femmes,1485,"33,42%"
2018,Personnel policier syndiqué,Autochtones,23,"0,52%"
2018,Personnel policier syndiqué,Personnes handicapées,N/A,N/A
2018,Pompier(-ière)s,Minorités visibles,28,"1,22%"
2018,Pompier(-ière)s,Minorités ethniques,41,"1,78%"
2018,Pompier(-ière)s,Femmes,30,"1,30%"
2018,Pompier(-ière)s,Autochtones,10,"0,43%"
2018,Pompier(-ière)s,Personnes handicapées,N/A,N/A
2018,Professionnel(le)s architectes,Minorités visibles,3,"7,89%"
2018,Professionnel(le)s architectes,Minorités ethniques,1,"2,63%"
