C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TED,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration_et_soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,133 034 379,15 199 863,102 260 818,41 803 905,45 647 637,23 393 983,22 443 771,19 872 918,80 417 487,,,484 074 760
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,43 982 875,,,,,,,,43 982 875
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,15 147 669,,,,,,,,15 147 669
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",,,,2 556 168,,,,,,,,2 556 168
4120,Habitudes de vie et maladies chroniques,,,,11 734 228,,,,,,,,11 734 228
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,3 541 140,,,,,,,,3 541 140
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,39 001 117,,,,,,,,39 001 117
4133,Prévention des infections transmissibles sexuellement et par le sang,,,,7 613 468,,,,,,,,7 613 468
4134,Vaccination massive et urgente,,,,59 482,,,,,,,,59 482
4140,Autres activités de santé publique,49 633,,,1 927 454,,,,,,,,1 977 087
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,30 238 749,79 801,,,,,,,30 318 550
4160,Promotion et soutien des pratiques cliniques préventives,,,,1 141 026,,,,,,,,1 141 026
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,17 780 366,,,17 780 366
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,58 150 654,,,58 150 654
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,11 299 471,,,11 299 471
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,8 891 213,,,8 891 213
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,19 153 353,,,19 153 353
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,180 653 623,,,180 653 623
5410,Soutien aux services de santé mentale (LSSSS),,,7 162 473,,,,,,,,,7 162 473
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,75 868 602,,,75 868 602
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,48 380 774,,,48 380 774
5503,Unités de vie pour jeunes - Régulières (LPJ - LSSSS),,,,,,,,,100 162 979,,,100 162 979
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,19 179 798,,,,,,,,,19 179 798
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,27 199 566,,,27 199 566
5512,Ressources intermédiaires - Santé physique,,2 323 988,,,,,,,,,,2 323 988
5513,Ressources intermédiaires - Santé mentale,,,90 876 580,,,,,,,,,90 876 580
5514,Ressources intermédiaires - Personnes en perte d'autonomie liée au vieillissement,,,,,243 445 582,,,,,,,243 445 582
5515,Ressources intermédiaires - Dépendances,,,,,,,,2 012 110,,,,2 012 110
5516,Ressources intermédiaires - Déficience intellectuelle et TED,,,,,,198 749 576,,,,,,198 749 576
5517,Ressources intermédiaires - Déficience physique,,,,,,,12 140 755,,,,,12 140 755
5521,Familles d'accueil - Jeunes en difficulté,,,,,,278 760,,,210 609 985,,,210 888 745
5523,Familles d'accueil - Santé mentale,,,853 748,,,,,,,,,853 748
5526,Familles d'accueil - Déficience intellectuelle et TED,,,,,,9 138 701,,,,,,9 138 701
5527,Familles d'accueil - Déficience physique,,,,,,,339 154,,,,,339 154
5532,Résidences d'accueil - Santé physique,,161 257,,,,,,,,,,161 257
5533,Résidences d'accueil - Santé mentale,,,57 515 917,,,,,,,,,57 515 917
5534,Résidences d'accueil - Personnes en perte d'autonomie liée au vieillissement,,,,,16 743 918,,,,,,,16 743 918
5535,Résidences d'accueil - Dépendances,,,,,,,,415 412,,,,415 412
5536,Résidences d'accueil - Déficience intellectuelle et TED,,,,,,104 459 767,,,,,,104 459 767
5537,Résidences d'accueil - Déficience physique,,,,,,,4 258 518,,,,,4 258 518
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,3 749 393,,,3 749 393
5542,Autres ressources - Santé physique,,8 971 616,,,,,,,,,,8 971 616
5543,Autres ressources - Santé mentale,,,22 822 839,,,,,,,,,22 822 839
5544,Autres ressources - Personnes en perte d'autonomie liée au vieillissement,,,,,53 340 765,,,,,,,53 340 765
5545,Autres ressources - Dépendances,,,,,,,,3 730 750,,,,3 730 750
5546,Autres ressources - Déficience intellectuelle et TED,,,,,,13 119 458,,,,,,13 119 458
5547,Autres ressources - Déficience physique,,,,,,,3 201 096,,,,,3 201 096
5552,Supervision et suivi des usagers en RNI - Santé physique,,902 331,,,,,,,,,,902 331
5553,Supervision et suivi des usagers en RNI - Santé mentale,,,12 545 003,,,,,,,,,12 545 003
5554,Supervision et suivi des usagers en RNI - Personnes en perte d'autonomie liée au vieillissement,,,,,19 113 530,,,,,,,19 113 530
5556,Supervision et suivi des usagers en RNI - Déficience intellectuelle et TED,,,,,,11 877,,,,,,11 877
5557,Supervision et suivi des usagers en RNI - Déficience physique,,,,,,,9 197,,,,,9 197
5590,Tutelle à un enfant,,,,,,,,,9 867 676,,,9 867 676
5601,Centre de jour pour jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,3 096 906,,,3 096 906
5602,Services d'apprentissage aux habitudes de travail (LPJ - LSJPA - LSSSS),,,,,,,,,1 089 392,,,1 089 392
5603,Programme de qualification des jeunes (PQJ) (LPJ - LSJPA - LSSSS),,,,,,,,,7 050 914,,,7 050 914
5700,Révision des mesures (LPJ),,,,,,,,,7 897 163,,,7 897 163
5810,Expertise à la Cour supérieure (LSSSS),,,,,,,,,2 303 118,,,2 303 118
5820,Médiation familiale (LSSSS),,,,,,,,,362 079,,,362 079
5830,Recherche d'antécédents et retrouvailles (LSSSS),,,,,,,,,1 856 864,,,1 856 864
5850,Contentieux (LPJ - LSJPA - LSSSS),,,,,,,,,19 594 191,,,19 594 191
5860,Santé des jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,6 003 241,,,6 003 241
5870,Adoption (LSSSS),,,,,,,,,6 403 601,,,6 403 601
5900,Administration des services à la clientèle (LPJ - LSJPA - LSSSS),,,,,,,,,,30 706 327,,30 706 327
5910,Services psychosociaux pour les jeunes en difficulté et leur famille,,,,99 434,,,,,124 016 381,,,124 115 815
5920,Intervention et suivi de crise,,,6 918 004,,,,,,,,,6 918 004
5930,Services ambulatoires de santé mentale en première ligne,,,116 348 367,,,,,,,,,116 348 367
5940,Soutien dans la communauté aux personnes souffrant d'un trouble mental grave,,,65 453 512,,,,,,,,,65 453 512
5950,Formation donnée par le personnel infirmier,386 054,23 115 746,361 345,,1 086 180,,,,,,,24 949 325
5960,Autres services téléphoniques régionaux,2 525 405,,,,,,,,,,,2 525 405
5970,Info-social,4 631 588,,,,,,,,,,,4 631 588
5980,Services infirmiers dans les groupes de médecine de famille ou de cliniques - Réseau,53 077 918,,,,,,,,,,,53 077 918
5990,Pratique des sages-femmes,12 703 125,,,,,,,,,,,12 703 125
6000,Administration des soins,,,,,,,,,,287 237 734,,287 237 734
6010,Unités d'hospitalisation en pédopsychiatrie (0 - 17 ans),,,26 590 442,,,,,,,,,26 590 442
6020,Unités d'hospitalisation en psychiatrie pour adultes,,,230 946 483,,,,,,,,,230 946 483
6030,Unités d'hospitalisation en gérontopsychiatrie,,,14 446 023,,,,,,,,,14 446 023
6050,Soins infirmiers de courte durée aux adultes et aux enfants,,1 642 973 128,,,132 516 247,,3 402 518,,,,,1 778 891 893
6060,Soins infirmiers aux personnes en perte d'autonomie,,,,,783 660 973,,1 859 651,,,,,785 520 624
6070,Chirurgie d'un jour,,45 423 269,,,,,,,,,,45 423 269
6080,Soins infirmiers et d'assistance en unité de réadaptation fonctionnelle intensive,,41 717 379,,,,,11 468 609,,,,,53 185 988
6090,Info-Santé,41 308 035,,,,,,,,,,,41 308 035
6100,Psychiatrie légale,,,48 029 609,,,,,,,,,48 029 609
6160,Soins d'assistance aux personnes en pertes d'autonomie,,,,,879 047 186,,657 879,,,,,879 705 065
6171,Soins infirmiers spécialisés à domicile (santé physique),,13 352 467,,,,,,,,,,13 352 467
6172,Soins infirmiers à domicile (santé mentale),,,724 384,,,,,,,,,724 384
6173,Soins infirmiers à domicile réguliers (non répartis),47 523 656,43 344 604,1 227 968,1 032 560,143 208 068,1 643 740,16 829 764,,,,,254 810 359
6174,Soins infirmiers à domicile continus,,1 011 851,,,13 044 722,,73 725,,,,,14 130 298
6178,Soins infirmiers à domicile réguliers (hors-territoire),105 299,62 033,5 637,5 055,418 785,1 528,18 337,,,,,616 672
6180,Hôtellerie hospitalière,,2 948 308,,,,,,,,,,2 948 308
6200,Soins spécialisés aux nouveau-nés (néonatologie),,83 289 793,,,,,,,,,,83 289 793
6240,L'urgence,,572 527 559,49 362 451,,,,,,,,,621 890 010
6250,Nutrition parentérale totale à domicile,,4 852 443,,,,,,,,,,4 852 443
6260,Bloc opératoire,,742 993 940,,,,,,,,,,742 993 940
6270,Unité d'hébergement et de soins de longue durée aux adultes avec diagnostic psychiatrique,,,38 786 092,,,,,,,,,38 786 092
6280,Hôpital de jour en santé mentale,,,14 828 477,,,,,,,,,14 828 477
6290,Hôpital de jour gériatrique,,,,,9 912 412,,,,,,,9 912 412
6302,Consultations externes spécialisées,,173 674 905,,,,,455 081,,,,,174 129 986
6303,Planification familiale,,8 804 258,,,,,,,,,,8 804 258
6304,Unité de médecine familiale,25 989 491,,,,,,,,,,,25 989 491
6307,Services de santé courants,127 994 885,36 656 605,,,,,,,,,,164 651 490
6308,Services de santé courants (hors territoire),3 538 673,,,,,,,,,,,3 538 673
6321,Unité de retraitement des dispositifs médicaux - Déficience motrice,,,,,,,99 867,,,,,99 867
6322,Unité de retraitement des dispositifs médicaux CLSC et CH,,80 327 542,,,,,108 484,,,,,80 436 026
6330,Services d'évaluation et de traitement de deuxième et troisième ligne en santé mentale,,,125 005 189,,,,,,,,,125 005 189
6340,Désintoxication interne en milieu hospitalier,,,,,,,,1 558 323,,,,1 558 323
6351,Inhalothérapie à domicile,,8 929 625,,,8 352 881,,1 481 301,,,,,18 763 807
6352,Inhalothérapie - Autres,,128 255 726,,,,,,,,,,128 255 726
6360,Centre de soins à la mère et au nouveau-né,,225 852 822,,,,,,,,,,225 852 822
6370,Enseignement scolaire,,,,,,1 682,326 343,,,,,328 025
