C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,139 100 014,18 222 011,106 525 587,46 608 781,58 300 309,27 189 926,25 044 501,20 890 983,83 132 893,,,,525 015 005
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,48 994 566,,,,,,,,,48 994 566
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,17 293 498,,,,,,,,,17 293 498
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",,,,2 256 017,,,,,,,,,2 256 017
4120,Habitudes de vie et maladies chroniques,,,,13 874 080,,,,,,,,,13 874 080
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,3 905 737,,,,,,,,,3 905 737
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,36 926 828,,,,,,,,,36 926 828
4133,Prévention des infections transmissibles sexuellement et par le sang,,,,8 385 523,,,,,,,,,8 385 523
4140,Autres activités de santé publique,,,,2 145 868,,,,,,,,,2 145 868
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,30 766 912,,,,,,,,,30 766 912
4160,Promotion et soutien des pratiques cliniques préventives,,,,1 626 206,,,,,,,,,1 626 206
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,19 561 532,,,,19 561 532
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,64 687 729,,,,64 687 729
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,10 664 567,,,,10 664 567
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,9 566 952,,,,9 566 952
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,16 626 904,,,,16 626 904
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,193 992 516,,,,193 992 516
5410,Soutien aux services de santé mentale (LSSSS),,,8 192 202,,,,,,,,,,8 192 202
