C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,142 647 533,19 863 953,109 143 775,48 147 696,62 829 161,28 243 528,26 412 504,27 238 240,82 458 687,,,,546 985 077
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,49 022 402,,,,,,,,,49 022 402
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,18 523 256,,,,,,,,,18 523 256
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",,,,1 570 520,,,,,,,,,1 570 520
4120,Habitudes de vie et maladies chroniques,,,,14 594 621,,,,,,,,,14 594 621
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,5 398 194,,,,,,,,,5 398 194
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,37 714 117,,,,,,,,,37 714 117
4133,Prévention des infections transmissibles sexuellement et par le sang,,,,9 989 219,,,,,,,,,9 989 219
4134,Vaccination massive et urgente,,,,301 976,,,,,,,,,301 976
4140,Autres activités de santé publique,,,,2 900 919,,,,,,,,,2 900 919
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,32 018 431,,,,,,,,,32 018 431
4160,Promotion et soutien des pratiques cliniques préventives,,,,1 027 084,,,,,,,,,1 027 084
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,20 396 987,,,,20 396 987
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,66 633 627,,,,66 633 627
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,9 142 492,,,,9 142 492
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,7 998 352,,,,7 998 352
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,17 214 302,,,,17 214 302
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,203 052 589,,,,203 052 589
5410,Soutien aux services de santé mentale (LSSSS),,,7 381 379,,,,,,,,,,7 381 379
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,175 261 820,,,,175 261 820
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,42 172 075,,,,42 172 075
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,19 584 771,,,,,,,,,,19 584 771
5505,Unités de vie ouverts pour jeunes mères en difficulté d'adaptation  (LPJ - LSSSS),,,,,,,,,808 251,,,,808 251
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,22 900 042,,,,22 900 042
5512,Ressources intermédiaires - Santé physique,,938 405,,,,,,,,,,,938 405
5513,Ressources intermédiaires - Santé mentale,,,106 141 771,,,,,,,,,,106 141 771
5514,Ressources intermédiaires - Soutien à l'autonomie des personnes âgées,,,,,346 983 484,,,,,,,,346 983 484
5515,Ressources intermédiaires - Dépendances,,,,,,,,1 073 378,,,,,1 073 378
5516,Ressources intermédiaires - Déficience intellectuelle et TSA,,,,,,191 530 540,,,,,,,191 530 540
5517,Ressources intermédiaires - Déficience physique,,,,,,,17 019 420,,,,,,17 019 420
5521,Familles d'accueil - Jeunes en difficulté,,,,,,,,,251 324 792,,,,251 324 792
5523,Familles d'accueil - Santé mentale,,,341 203,,,,,,,,,,341 203
5526,Familles d'accueil - Déficience intellectuelle et TSA,,,,,,9 939 658,,,,,,,9 939 658
5527,Familles d'accueil - Déficience physique,,,,,,,217 136,,,,,,217 136
5532,Résidences d'accueil - Santé physique,,61 125,,,,,,,,,,,61 125
5533,Résidences d'accueil - Santé mentale,,,64 899 762,,,,,,,,,,64 899 762
5534,Résidences d'accueil - Soutien à l'autonomie des personnes âgées,,,,,16 557 361,,,,,,,,16 557 361
5535,Résidences d'accueil - Dépendances,,,,,,,,291 934,,,,,291 934
5536,Résidences d'accueil - Déficience intellectuelle et TSA,,,,,,153 858 431,,,,,,,153 858 431
5537,Résidences d'accueil - Déficience physique,,,,,,,3 698 839,,,,,,3 698 839
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,10 832 689,,,,10 832 689
5542,Autres ressources - Santé physique,,5 266 865,,,,,,,,,,,5 266 865
