C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,155 893 265,24 047 276,115 159 205,65 209 611,65 484 034,34 337 515,31 234 575,32 765 694,95 503 354,,,,619 634 529
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,50 213 233,,,,,,,,,50 213 233
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,18 241 956,,,,,,,,,18 241 956
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",,,,1 646 084,,,,,,,,,1 646 084
4120,Habitudes de vie et maladies chroniques,,,,15 181 420,,,,,,,,,15 181 420
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,5 737 251,,,,,,,,,5 737 251
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,42 694 452,,,,,,,,,42 694 452
4133,Prévention des infections transmissibles sexuellement et par le sang,,,,12 263 620,,,,,,,,,12 263 620
4134,Vaccination massive et urgente,,,,2 661,,,,,,,,,2 661
4140,Autres activités de santé publique,,,,4 070 441,,,,,,,,,4 070 441
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,29 310 816,,,,,,,,,29 310 816
4160,Promotion et soutien des pratiques cliniques préventives,,,,1 005 874,,,,,,,,,1 005 874
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,23 775 803,,,,23 775 803
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,80 590 366,,,,80 590 366
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,9 154 949,,,,9 154 949
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,8 052 964,,,,8 052 964
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,15 979 641,,,,15 979 641
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,230 627 239,,,,230 627 239
5410,Soutien aux services de santé mentale (LSSSS),,,7 328 238,,,,,,,,,,7 328 238
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,185 264 721,,,,185 264 721
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,46 910 980,,,,46 910 980
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,22 448 259,,,,,,,,,,22 448 259
5505,Unités de vie ouverts pour jeunes mères en difficulté d'adaptation  (LPJ - LSSSS),,,,,,,,,753 143,,,,753 143
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,23 525 350,,,,23 525 350
5512,Ressources intermédiaires - Santé physique,,609 426,,,,,,,,,,,609 426
5513,Ressources intermédiaires - Santé mentale,,,122 135 659,,,,,,,,,,122 135 659
5514,Ressources intermédiaires - Soutien à l'autonomie des personnes âgées,,,,,407 138 183,,,,,,,,407 138 183
5515,Ressources intermédiaires - Dépendances,,,,,,,,1 420 851,,,,,1 420 851
5516,Ressources intermédiaires - Déficience intellectuelle et TSA,,,,,,205 971 036,,,,,,,205 971 036
5517,Ressources intermédiaires - Déficience physique,,,,,,,16 844 190,,,,,,16 844 190
5521,Familles d'accueil - Jeunes en difficulté,,,,,,,,,289 389 693,,,,289 389 693
5523,Familles d'accueil - Santé mentale,,,366 285,,,,,,,,,,366 285
5526,Familles d'accueil - Déficience intellectuelle et TSA,,,,,,11 682 185,,,,,,,11 682 185
5527,Familles d'accueil - Déficience physique,,,,,,,331 813,,,,,,331 813
5532,Résidences d'accueil - Santé physique,,38 721,,,,,,,,,,,38 721
5533,Résidences d'accueil - Santé mentale,,,63 716 984,,,,,,,,,,63 716 984
5534,Résidences d'accueil - Soutien à l'autonomie des personnes âgées,,,,,15 743 290,,,,,,,,15 743 290
5535,Résidences d'accueil - Dépendances,,,,,,,,99 474,,,,,99 474
5536,Résidences d'accueil - Déficience intellectuelle et TSA,,,,,,161 422 051,,,,,,,161 422 051
5537,Résidences d'accueil - Déficience physique,,,,,,,2 616 503,,,,,,2 616 503
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,9 950 537,,,,9 950 537
5542,Autres ressources - Santé physique,,4 273 145,,,,,,,,,,,4 273 145
5543,Autres ressources - Santé mentale,,,24 184 988,,,,,,,,,,24 184 988
5544,Autres ressources - Soutien à l'autonomie des personnes âgées,,,,,66 177 953,,,,,,,,66 177 953
5545,Autres ressources - Dépendances,,,,,,,,3 197 248,,,,,3 197 248
5546,Autres ressources - Déficience intellectuelle et TSA,,,,,,17 628 554,,,,,,,17 628 554
5547,Autres ressources - Déficience physique,,,,,,,6 453 230,,,,,,6 453 230
5552,Suivi professionnel des usagers en RI - RTF - Santé physique,,319 551,,,,,,,,,,,319 551
