C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,137 036 784,17 347 884,105 953 548,43 356 759,55 241 214,26 685 203,24 223 223,20 800 675,83 110 060,,,,513 755 350
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,46 781 819,,,,,60 324,,,,46 842 143
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,16 252 908,,,,,,,,,16 252 908
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",27 991,,,2 167 020,,,,,,,,,2 195 011
4120,Habitudes de vie et maladies chroniques,107 309,,,13 024 507,,,,,,,,,13 131 816
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,4 476 140,,,,,,,,,4 476 140
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,39 704 966,,,,,,,,,39 704 966
4133,Prévention des infections transmissibles sexuellement et par le sang,16 551,,,8 397 908,,,,,,,,,8 414 459
4134,Vaccination massive et urgente,,,,113 882,,,,,,,,,113 882
4140,Autres activités de santé publique,35 683,,,1 914 015,,,,,,,,,1 949 698
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,31 253 258,,,,,,,,,31 253 258
4160,Promotion et soutien des pratiques cliniques préventives,,,,1 287 980,,,,,,,,,1 287 980
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,19 117 671,,,,19 117 671
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,60 830 941,,,,60 830 941
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,10 654 791,,,,10 654 791
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,9 557 304,,,,9 557 304
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,15 689 080,,,,15 689 080
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,190 666 452,,,,190 666 452
5410,Soutien aux services de santé mentale (LSSSS),,,7 223 085,,,,,,,,,,7 223 085
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,74 618 343,,,,74 618 343
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,48 115 558,,,,48 115 558
5503,Unités de vie pour jeunes - Régulières (LPJ - LSSSS),,,,,,,,,103 669 212,,,,103 669 212
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,18 868 523,,,,,,909 317,,,,19 777 840
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,23 976 741,,,,23 976 741
5512,Ressources intermédiaires - Santé physique,,2 403 735,,,,,,,,,,,2 403 735
5513,Ressources intermédiaires - Santé mentale,,,99 656 643,,,,,,,,,,99 656 643
5514,Ressources intermédiaires - Personnes en perte d'autonomie liée au vieillissement,,,,,290 922 890,,,,,,,,290 922 890
5515,Ressources intermédiaires - Dépendances,,,,,,,,2 211 051,,,,,2 211 051
5516,Ressources intermédiaires - Déficience intellectuelle et TED,,,,,,212 755 333,,,,,,,212 755 333
5517,Ressources intermédiaires - Déficience physique,,,,,,,13 368 477,,,,,,13 368 477
5521,Familles d'accueil - Jeunes en difficulté,,,,,,,,,201 486 522,,,,201 486 522
5523,Familles d'accueil - Santé mentale,,,876 358,,,,,,,,,,876 358
5526,Familles d'accueil - Déficience intellectuelle et TED,,,,,,9 900 034,,,,,,,9 900 034
5527,Familles d'accueil - Déficience physique,,,,,,,373 433,,,,,,373 433
5532,Résidences d'accueil - Santé physique,,53 715,,,,,,,,,,,53 715
5533,Résidences d'accueil - Santé mentale,,,70 500 480,,,,,,,,,,70 500 480
5534,Résidences d'accueil - Personnes en perte d'autonomie liée au vieillissement,,,,,18 681 205,,,,,,,,18 681 205
5535,Résidences d'accueil - Dépendances,,,,,,,,348 164,,,,,348 164
5536,Résidences d'accueil - Déficience intellectuelle et TED,,,,,,126 570 450,,,,,,,126 570 450
5537,Résidences d'accueil - Déficience physique,,,,,,,4 394 015,,,,,,4 394 015
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,9 605 612,,,,9 605 612
5542,Autres ressources - Santé physique,,6 877 294,,,,,,,,,,,6 877 294
5543,Autres ressources - Santé mentale,,,24 000 169,,,,,,,,,,24 000 169
5544,Autres ressources - Personnes en perte d'autonomie liée au vieillissement,,,,,51 313 315,,,,,,,,51 313 315
5545,Autres ressources - Dépendances,,,,,,,,3 848 464,,,,,3 848 464
5546,Autres ressources - Déficience intellectuelle et TED,,,,,,15 108 153,,,,,,,15 108 153
5547,Autres ressources - Déficience physique,,,,,,,4 652 127,,,,,,4 652 127
5552,Supervision et suivi des usagers en RNI - Santé physique,,1 109 960,,,,,,,,,,,1 109 960
5553,Supervision et suivi des usagers en RNI - Santé mentale,,,12 918 778,,,,,,,,,,12 918 778
5554,Supervision et suivi des usagers en RNI - Personnes en perte d'autonomie liée au vieillissement,,,,,21 212 309,,,,,,,,21 212 309
5556,Supervision et suivi des usagers en RNI - Déficience intellectuelle et TED,,,,,,20 944,,,,,,,20 944
5557,Supervision et suivi des usagers en RNI - Déficience physique,,,,,,,28 630,,,,,,28 630
5590,Tutelle à un enfant,,,,,,,,,17 711 001,,,,17 711 001
5601,Centre de jour pour jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,2 531 536,,,,2 531 536
5602,Services d'apprentissage aux habitudes de travail (LPJ - LSJPA - LSSSS),,,,,,,,,1 118 416,,,,1 118 416
5603,Programme de qualification des jeunes (PQJ) (LPJ - LSJPA - LSSSS),,,,,,,,,7 475 356,,,,7 475 356
5700,Révision des mesures (LPJ),,,,,,,,,8 571 212,,,,8 571 212
5810,Expertise à la Cour supérieure (LSSSS),,,,,,,,,2 232 085,,,,2 232 085
5820,Médiation familiale (LSSSS),,,,,,,,,336 954,,,,336 954
5830,Recherche d'antécédents et retrouvailles (LSSSS),,,,,,,,,1 832 495,,,,1 832 495
5850,Contentieux (LPJ - LSJPA - LSSSS),,,,,,,,,21 615 831,,,,21 615 831
5860,Santé des jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,6 053 673,,,,6 053 673
5870,Adoption (LSSSS),,,,,,,,,13 828 019,,,,13 828 019
5900,Administration des services à la clientèle (LPJ - LSJPA - LSSSS),,,,,,,,,,,33 304 998,,33 304 998
5910,Services psychosociaux pour les jeunes en difficulté et leur famille,,,,95 970,,,,,131 268 606,,,,131 364 576
5920,Intervention et suivi de crise,,,9 157 898,,,,,,,,,,9 157 898
5930,Services ambulatoires de santé mentale en première ligne,,,122 175 097,,,,,,,,,,122 175 097
5940,Soutien dans la communauté aux personnes souffrant d'un trouble mental grave,,,68 817 941,,,,,,,,,,68 817 941
5950,Formation donnée par le personnel infirmier,399 640,22 844 044,372 967,,1 261 099,,,,,,,,24 877 750
5960,Autres services téléphoniques régionaux,2 825 991,,,,,,,,,,,,2 825 991
5970,Info-social,5 050 463,,,,,,,,,,,,5 050 463
5980,Services infirmiers dans les groupes de médecine de famille ou de cliniques - Réseau,61 656 110,,,,,,,,,,,,61 656 110
5990,Pratique des sages-femmes,14 335 785,,,,,,,,,,,,14 335 785
6000,Administration des soins,,,,,,,,,,,293 668 935,,293 668 935
6010,Unités d'hospitalisation en pédopsychiatrie (0 - 17 ans),,,26 296 605,,,,,,,,,,26 296 605
6020,Unités d'hospitalisation en psychiatrie pour adultes,,,229 611 780,,,,,,,,,,229 611 780
6030,Unités d'hospitalisation en gérontopsychiatrie,,,14 623 705,,,,,,,,,,14 623 705
6050,Soins infirmiers de courte durée aux adultes et aux enfants,,1 671 160 243,,,132 765 061,,3 343 010,,,,,,1 807 268 315
6060,Soins infirmiers aux personnes en perte d'autonomie,,,,,786 634 760,,1 730 291,,,,,,788 365 051
6070,Chirurgie d'un jour,,46 979 208,,,,,,,,,,,46 979 208
6080,Soins infirmiers et d'assistance en unité de réadaptation fonctionnelle intensive,,41 398 355,,,,,11 985 563,,,,,,53 383 918
6090,Info-Santé,39 914 670,,,,,,,,,,,,39 914 670
6100,Psychiatrie légale,,,52 677 435,,,,,,,,,,52 677 435
6160,Soins d'assistance aux personnes en pertes d'autonomie,,,,,917 835 011,,608 000,,,,,,918 443 011
6171,Soins infirmiers spécialisés à domicile (santé physique),,13 426 899,,,,,,,,,,,13 426 899
6172,Soins infirmiers à domicile (santé mentale),,,701 910,,,,,,,,,,701 910
6173,Soins infirmiers à domicile réguliers (non répartis),49 648 075,45 144 951,1 242 248,955 727,151 723 342,2 025 631,18 881 740,,,,,,269 621 715
6174,Soins infirmiers à domicile continus,,1 212 709,,,12 152 985,,,,,,,,13 365 694
6178,Soins infirmiers à domicile réguliers (hors-territoire),123 673,81 418,6 841,4 540,544 617,1 858,25 536,,,,,,788 484
6180,Hôtellerie hospitalière,,1 715 468,,,,,,,,,,,1 715 468
6200,Soins spécialisés aux nouveau-nés (néonatologie),,86 698 116,,,,,,,,,,,86 698 116
6240,L'urgence,,582 575 855,50 996 873,,,,,,,,,,633 572 727
6250,Nutrition parentérale totale à domicile,,5 557 022,,,,,,,,,,,5 557 022
6260,Bloc opératoire,,779 929 778,,,,,,,,,,,779 929 778
6270,Unité d'hébergement et de soins de longue durée aux adultes avec diagnostic psychiatrique,,,38 600 507,,,,,,,,,,38 600 507
6280,Hôpital de jour en santé mentale,,,13 536 843,,,,,,,,,,13 536 843
6290,Hôpital de jour gériatrique,,,,,10 093 177,,,,,,,,10 093 177
6302,Consultations externes spécialisées,,176 751 065,,,,,490 865,,,,,,177 241 930
6303,Planification familiale,,10 177 052,,,,,,,,,,,10 177 052
6304,Unité de médecine familiale,29 069 395,,,,,,,,,,,,29 069 395
6307,Services de santé courants,105 724 508,63 444 529,,,,,,,,,,,169 169 037
6308,Services de santé courants (hors territoire),3 718 561,,,,,,,,,,,,3 718 561
6321,Unité de retraitement des dispositifs médicaux - Déficience motrice,,,,,,,74 187,,,,,,74 187
6322,Unité de retraitement des dispositifs médicaux CLSC et CH,,83 509 049,,,,,97 150,,,,,,83 606 199
6330,Services d'évaluation et de traitement de deuxième et troisième ligne en santé mentale,,,127 269 285,,,,,,,,,,127 269 285
6340,Désintoxication interne en milieu hospitaliler,,,,,,,,1 636 413,,,,,1 636 413
6351,Inhalothérapie à domicile,,9 260 537,,,8 638 864,,1 662 551,,,,,,19 561 952
6352,Inhalothérapie - Autres,,129 673 654,,,,,,,,,,,129 673 654
6360,Centre de soins à la mère et au nouveau-né,,228 905 712,,,,,,,,,,,228 905 712
6370,Enseignement scolaire,,,,,,1 888,228 778,,,,,,230 666
6380,Services ambulatoires de psychogériatrie,,,,,3 182 184,,,,,,,,3 182 184
6390,Service de pastorale,,11 277 861,775 105,,7 255 142,,215 997,72 592,,,,,19 596 696
6430,Encadrement des ressources non institutionnelles (RNI),,221 455,7 557 841,,8 866 300,17 900 164,1 612 868,134 835,23 110 044,,,,59 403 508
6460,Services aux revendicateurs de statuts de réfugié,9 282 360,,,,,,,,,,,,9 282 360
6510,Santé parentale et infantile,45 355 448,,,2 469 771,,,,,,,,,47 825 219
6531,Aide à domicile régulière,3 162 357,8 184 313,1 849 324,,177 266 262,10 910 699,98 561 202,,,,,,299 934 157
6532,Aide à domicile continue,,,,,7 774 984,,593 617,,,,,,8 368 601
6540,Services dentaires préventifs,,,,16 470 234,,,,,,,,,16 470 234
6550,Services dentaires curatifs,,4 528 987,,,,,,,,,,,4 528 987
6561,Services psychosociaux à domicile,3 094 176,7 809 960,704 299,,99 363 861,12 105 234,19 574 693,,,,,,142 652 224
6562,Services psychosociaux - Autres que SAD,79 336 911,,,,,,,,,,,,79 336 911
6564,Psychologie,4 413 298,17 865 521,13 644 262,,2 123 490,,1 892 507,,,,,,39 939 078
6565,Services sociaux,,59 021 487,15 252 134,,17 890 644,,1 929 218,,,,,,94 093 483
6568,Services psychosociaux (hors territoire),2 021 058,,,,,,,,,,,,2 021 058
6590,Santé scolaire,24 438 028,,,2 274 549,,,,,,,,,26 712 577
6601,Banque de sang,,31 945 482,,,,,,,,,,,31 945 482
6602,Dépistage prénatal de la trisomie 21,,2 178 031,,,,,,,,,,,2 178 031
6604,Anatomopathologie,,65 746 067,,,,,,,,,,,65 746 067
6605,Cytologie,,19 203 109,,,,,,,,,,,19 203 109
6606,Centre de prélèvements,36 988 052,18 556 627,,,,,,,,,,,55 544 679
6607,Laboratoires regroupés,,418 062 392,,,,,28 552,,,,,,418 090 944
6608,Dépistage néonatal,,417 661,,1 578 093,,,,,,,,,1 995 754
6609,Génétique médicale,,18 776 828,,,,,,,,,,,18 776 828
6610,Physiologie repiratoire,,20 694 651,,,,,,,,,,,20 694 651
6620,Sécurité tranfusionnelle et produits sanguins,,318 008 672,,,,,,,,,,,318 008 672
6650,Chambre hyperbare,,964 579,,,,,,,,,,,964 579
6670,Services spécialisés en toxicomanie - Usagers admis,,,,,,,,23 116 000,,,,,23 116 000
6680,Services externes en toxicomanie,,,,,,,,53 734 590,,,,,53 734 590
6690,Unité d'intervention brève de traitement en toxicomanie,,,,,,,,1 508 215,,,,,1 508 215
6710,Électrophysiologie,,54 476 749,,,,,,,,,,,54 476 749
6750,Hémodynamie et électrophysiologie interventionnelle,,162 354 520,,,,,,,,,,,162 354 520
6761,Surveillance continue de l'état de santé de la population,,,,932 410,,,,,,,,,932 410
6762,"Prévention des maladies, des problèmes psychosociaux et des traumatismes",,,,4 833 554,,,,,,,,,4 833 554
6763,Promotion de la santé et du bien-être,,,,6 323 876,,,,,,,,,6 323 876
6764,Protection de la santé,,,,6 874 900,,,,,,,,,6 874 900
6765,Fonctions de soutien,,,,806 459,,,,,,,,,806 459
6766,"Direction, coordination et soutien administratif",,,,,,,,,,1 474 075,,,1 474 075
6770,Endoscopie,,76 143 697,,,,,,,,,,,76 143 697
6780,Médecine nucléaire et TEP,,72 676 924,,,,,,,,,,,72 676 924
6791,Hémodialyse traditionnelle en unité de dialyse,,123 744 290,,,,,,,,,,,123 744 290
6792,Hémodialyse semi-autonome en unité de dialyse,,10 585 875,,,,,,,,,,,10 585 875
6793,Hémodialyse à domicile,,2 796 821,,,,,,,,,,,2 796 821
6794,Hémodialyse hors de l'unité de dialyse,,2 788 930,,,,,,,,,,,2 788 930
6795,Dialyse péritonéale,,19 414 033,,,,,,,,,,,19 414 033
6796,Unité mobile d'hémodialyse,,648 942,,,,,,,,,,,648 942
6800,Pharmacie,,800 308 969,31 782 815,,117 653 966,141 278,3 282 169,50 090,,,,,953 219 287
6831,Radiologie générale,,109 370 367,,,,,247 728,,,,,,109 618 095
6832,Ultrasonographie,,34 455 293,,,,,,,,,,,34 455 293
6833,Mammographie,,13 294 845,,,,,,,,,,,13 294 845
6834,Tomodensitométrie,,50 715 468,,,,,,,,,,,50 715 468
6835,Résonance magnétique,,28 447 625,,,,,,,,,,,28 447 625
6836,Angioradiologie (excluant cardiaque),,52 321 661,,,,,,,,,,,52 321 661
6837,Lithotripsie,,381 272,,,,,,,,,,,381 272
