C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,147 791 289,20 911 411,111 866 421,56 033 625,64 324 664,31 013 632,26 948 648,28 223 073,89 328 132,,,,576 440 895
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,45 349 078,,,,,,,,,45 349 078
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,18 201 069,,,,,,,,,18 201 069
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",,,,1 702 046,,,,,,,,,1 702 046
4120,Habitudes de vie et maladies chroniques,,,,14 451 621,,,,,,,,,14 451 621
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,4 566 893,,,,,,,,,4 566 893
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,38 821 720,,,,,,,,,38 821 720
4133,Prévention des infections transmissibles sexuellement et par le sang,,,,10 807 242,,,,,,,,,10 807 242
4134,Vaccination massive et urgente,,,,6 158,,,,,,,,,6 158
4140,Autres activités de santé publique,,,,3 677 436,,,,,,,,,3 677 436
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,28 336 128,,,,,,,,,28 336 128
4160,Promotion et soutien des pratiques cliniques préventives,,,,725 444,,,,,,,,,725 444
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,22 278 371,,,,22 278 371
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,71 564 963,,,,71 564 963
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,7 739 175,,,,7 739 175
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,7 761 603,,,,7 761 603
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,16 169 337,,,,16 169 337
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,209 456 821,,,,209 456 821
5410,Soutien aux services de santé mentale (LSSSS),,,6 827 454,,,,,,,,,,6 827 454
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,179 682 316,,,,179 682 316
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,45 367 129,,,,45 367 129
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,21 012 362,,,,,,,,,,21 012 362
5505,Unités de vie ouverts pour jeunes mères en difficulté d'adaptation  (LPJ - LSSSS),,,,,,,,,757 867,,,,757 867
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,22 762 612,,,,22 762 612
5512,Ressources intermédiaires - Santé physique,,571 510,,,,,,,,,,,571 510
5513,Ressources intermédiaires - Santé mentale,,,110 662 771,,,,,,,,,,110 662 771
5514,Ressources intermédiaires - Soutien à l'autonomie des personnes âgées,,,,,364 339 232,,,,,,,,364 339 232
5515,Ressources intermédiaires - Dépendances,,,,,,,,1 094 492,,,,,1 094 492
5516,Ressources intermédiaires - Déficience intellectuelle et TSA,,,,,,196 364 608,,,,,,,196 364 608
5517,Ressources intermédiaires - Déficience physique,,,,,,,16 728 404,,,,,,16 728 404
5521,Familles d'accueil - Jeunes en difficulté,,,,,,,,,265 613 624,,,,265 613 624
5523,Familles d'accueil - Santé mentale,,,352 460,,,,,,,,,,352 460
5526,Familles d'accueil - Déficience intellectuelle et TSA,,,,,,11 053 950,,,,,,,11 053 950
5527,Familles d'accueil - Déficience physique,,,,,,,603 652,,,,,,603 652
