C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficultes,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Crédits des organismes communautaires,140 377 975,20 212 388,107 532 915,42 776 740,60 967 325,27 601 897,25 570 411,22 124 843,83 006 990,,,,530 171 484
4112,"Développement, adaptation et intégration sociale enfants (0 - 5 ans) et leur famille",,,,50 291 004,,,,,,,,,50 291 004
4114,"Développement, adaptation et intégration sociale jeunes (6 - 17 ans) et leur famille",,,,18 560 355,,,,,,,,,18 560 355
4116,"Développement, adaptation et intégration sociale adultes incluant personnes âgées",,,,2 194 136,,,,,,,,,2 194 136
4120,Habitudes de vie et maladies chroniques,,,,14 454 213,,,,,,,,,14 454 213
4131,"Maladies infectieuses à déclaration obligatoire, les signalements et les éclosions",,,,4 367 251,,,,,,,,,4 367 251
4132,Immunisation et manifestations cliniques inhabituelles liées à l'immunisation,,,,35 516 065,,,,,,,,,35 516 065
4133,Prévention des infections transmissibles sexuellement et par le sang,,,,8 669 962,,,,,,,,,8 669 962
4134,Vaccination massive et urgente,,,,83 804,,,,,,,,,83 804
4140,Autres activités de santé publique,,,,2 405 874,,,,,,,,,2 405 874
4150,Soutien au développement des communautés et à l'action intersectorielle,,,,33 643 617,,,,,,,,,33 643 617
4160,Promotion et soutien des pratiques cliniques préventives,,,,1 407 183,,,,,,,,,1 407 183
5100,Accueil à la jeunesse (LPJ - LSJPA - LSSSS),,,,,,,,,19 441 051,,,,19 441 051
5201,Évaluation / Orientation (L.P.J.),,,,,,,,,64 325 604,,,,64 325 604
5202,Demande d'intervention auprès des jeunes contrevenants (LSJPA),,,,,,,,,10 008 712,,,,10 008 712
5203,Mécanismes d'accès (LPJ - LSJPA - LSSSS),,,,,,,,,8 922 076,,,,8 922 076
5401,Assistance et support aux jeunes et à la famille - LSJPA,,,,,,,,,15 926 623,,,,15 926 623
5402,Assistance et support aux jeunes et à la famille - LPJ - LSSSS,,,,,,,,,195 035 041,,,,195 035 041
5410,Soutien aux services de santé mentale (LSSSS),,,6 848 521,,,,,,,,,,6 848 521
5501,Unités de vie pour jeunes - Garde ouverte (LPJ - LSJPA),,,,,,,,,176 233 607,,,,176 233 607
5502,Unités de vie pour jeunes - Garde fermée (LPJ - LSJPA),,,,,,,,,47 394 290,,,,47 394 290
5504,Unités de vie pour jeunes - Santé mentale (LPJ - LSJPA - LSSSS),,,17 464 900,,,,,,,,,,17 464 900
5505,Unités de vie ouverts pour jeunes mères en difficulté d'adaptation  (LPJ - LSSSS),,,,,,,,,745 471,,,,745 471
5511,Ressources intermédiaires - Jeunes en difficulté,,,,,,,,,22 717 285,,,,22 717 285
5512,Ressources intermédiaires - Santé physique,,1 126 747,,,,,,,,,,,1 126 747
5513,Ressources intermédiaires - Santé mentale,,,104 947 163,,,,,,,,,,104 947 163
5514,Ressources intermédiaires - Soutien à l'autonomie des personnes âgées,,,,,331 738 376,,,,,,,,331 738 376
5515,Ressources intermédiaires - Dépendances,,,,,,,,1 694 253,,,,,1 694 253
5516,Ressources intermédiaires - Déficience intellectuelle et TSA,,,,,,209 707 537,,,,,,,209 707 537
5517,Ressources intermédiaires - Déficience physique,,,,,,,19 157 804,,,,,,19 157 804
5521,Familles d'accueil - Jeunes en difficulté,,,,,,,,,246 657 302,,,,246 657 302
5523,Familles d'accueil - Santé mentale,,,355 892,,,,,,,,,,355 892
5526,Familles d'accueil - Déficience intellectuelle et TSA,,,,,,9 130 335,,,,,,,9 130 335
5527,Familles d'accueil - Déficience physique,,,,,,,346 460,,,,,,346 460
5532,Résidences d'accueil - Santé physique,,114 129,,,,,,,,,,,114 129
5533,Résidences d'accueil - Santé mentale,,,68 360 046,,,,,,,,,,68 360 046
5534,Résidences d'accueil - Soutien à l'autonomie des personnes âgées,,,,,17 752 817,,,,,,,,17 752 817
5535,Résidences d'accueil - Dépendances,,,,,,,,311 193,,,,,311 193
5536,Résidences d'accueil - Déficience intellectuelle et TSA,,,,,,136 250 020,,,,,,,136 250 020
5537,Résidences d'accueil - Déficience physique,,,,,,,3 904 571,,,,,,3 904 571
5541,Autres ressources - Jeunes en difficulté,,,,,,,,,7 790 779,,,,7 790 779
5542,Autres ressources - Santé physique,,5 860 796,,,,,,,,,,,5 860 796
5543,Autres ressources - Santé mentale,,,22 908 534,,,,,,,,,,22 908 534
5544,Autres ressources - Soutien à l'autonomie des personnes âgées,,,,,56 232 568,,,,,,,,56 232 568
5545,Autres ressources - Dépendances,,,,,,,,3 375 510,,,,,3 375 510
5546,Autres ressources - Déficience intellectuelle et TSA,,,,,,17 137 898,,,,,,,17 137 898
5547,Autres ressources - Déficience physique,,,,,,,5 546 930,,,,,,5 546 930
5552,Suivi professionnel des usagers en RI - RTF - Santé physique,,163 661,,,,,,,,,,,163 661
5553,Suivi professionnel des usagers en RI - RTF - Santé mentale,,,14 110 569,,,,,,,,,,14 110 569
5554,Suivi professionnel des usagers en RI - RTF -  Soutien à l'autonomie des personnes âgées,,,,,19 885 673,,,,,,,,19 885 673
5556,Suivi professionnel des usagers en RI - RTF - Déficience intellectuelle et TED,,,,,,437 422,,,,,,,437 422
5557,Suivi professionnel des usagers en RI - RTF - Déficience physique,,,,,,,541 633,,,,,,541 633
5580,Postulants familles d'accueil de proximité - Jeunes en difficulté,,,,,,,,,7 357 756,,,,7 357 756
5590,Tutelle à un enfant,,,,,,,,,24 197 042,,,,24 197 042
5601,Centre de jour pour jeunes (LPJ - LSJPA - LSSSS),,,,,,,,,1 875 374,,,,1 875 374
5602,Services d'apprentissage aux habitudes de travail (LPJ - LSJPA - LSSSS),,,,,,,,,2 568 097,,,,2 568 097
5603,Programme de qualification des jeunes (PQJ) (LPJ - LSJPA - LSSSS),,,,,,,,,6 982 715,,,,6 982 715
5700,Révision des mesures (LPJ),,,,,,,,,8 733 978,,,,8 733 978
