ï»¿C/A,NOM_C/A,Services_generaux,Sante_physique,Sante_mentale,Sante_publique,Soutien_a_l'autonomie_des_PA,Deficience_intellectuelle_et_TSA,Deficience_physique,Dependances,Jeunes_en_difficulte,Administration,Soutien_aux_services,Gestion_des_batiments,TOTAL
,Credits des organismes communautaires,236 148 136,42 153 524,147 205 374,90 348 474,79 601 780,46 676 500,35 788 115,45 940 784,120 483 764,,,,844 346 451
4112,Dev adapt. int.soc. enfant0 5ans,,,,50 207 485,,,,,,,,,50 207 485
4114,Dev adapt int.soc. Jeunes 6 17ans,,,,14 739 091,,,,,,,,,14 739 091
4116,Dev adapt int.soc. adultes &PA,,,,2 172 642,,,,,,,,,2 172 642
4120,Habitudes de vie et maladies chron.,,,,11 910 888,,,,,,,,,11 910 888
4131,Mal.Inf.decl.oblig.signal.eclo.,,,,15 639 231,,,,,,,,,15 639 231
4132,Immuni.manif.clin.inhab.liee a immu,,,,46 413 244,,,,,,,,,46 413 244
4133,Prevention ITSS,,,,12 998 414,,,,,,,,,12 998 414
4134,Vaccination massive et urgente,,,,16 223 435,,,,,,,,,16 223 435
4140,Autres activites de sante publique,,,,3 751 826,,,,,,,,,3 751 826
4150,Sout.dev.comm.et action intersec.,,,,36 339 557,,,,,,,,,36 339 557
4160,Promotion et sout.prat.clin.prev.,,,,1 841 437,,,,,,,,,1 841 437
5100,Accueil a la jeunesse,,,,,,,,,35 715 898,,,,35 715 898
5201,evaluation/orientation (L.P.J.),,,,,,,,,110 470 451,,,,110 470 451
5202,Dem.d'inter. aupres jeunes contrev.,,,,,,,,,7 628 113,,,,7 628 113
5203,Mecanismes d'acces,,,,,,,,,8 880 707,,,,8 880 707
5401,Assistance et support(LSJPA),,,,,,,,,14 886 052,,,,14 886 052
5402,Assistance et support(LPJ LSSSS),,,,,,,,,305 325 681,,,,305 325 681
5410,Soutien aux services sante mentale,,,6 091 667,,,,,,,,,,6 091 667
5501,Unites de vie pour jeunes ouvertes,,,,,,,,,220 634 501,,,,220 634 501
5502,Unites de vie pour jeunes  fermees,,,,,,,,,44 325 253,,,,44 325 253
5504,Unite de vie ouverte sante mentale,,,23 052 427,,,,,,,,,,23 052 427
5505,Unites de vie ouvertes pour JMDA,,,,,,,,,849 071,,,,849 071
5511,RI  Jeunes en difficulte,,,,,,,,,27 661 781,,,,27 661 781
5512,RI Sante physique,,930 561,,,,,,,,,,,930 561
5513,RI Sante mentale,,,173 175 302,,,,,,,,,,173 175 302
5514,RI Soutien a l'autonomie des PA,,,,,552 544 927,,,,,,,,552 544 927
5515,RI  Dependances,,,,,,,,1 535 493,,,,,1 535 493
5516,RI DI et TSA,,,,,,259 801 089,,,,,,,259 801 089
5517,RI Deficience physique,,,,,,,17 154 314,,,,,,17 154 314
5521,RTF F.d'accueil Jeunes en difficul.,,,,,,,,,377 900 958,,,,377 900 958
5523,RTF F.d'accueil Sante mentale,,,63 372,,,,,,,,,,63 372
5526,RTF F.d'accueil DI et TSA,,,,,,11 989 016,,,,,,,11 989 016
5527,RTF F.d'accueil Def.physique,,,,,,,173 392,,,,,,173 392
5532,RTF R.d'accueil Sante physique,,375,,,,,,,,,,,375
5533,RTF R.d'accueil Sante mentale,,,58 970 374,,,,,,,,,,58 970 374
5534,RTF R.d'accueil Soutien a A des PA,,,,,12 482 757,,,,,,,,12 482 757
5536,RTF R.d'accueil DI et TSA,,,,,,193 717 746,,,,,,,193 717 746
5537,RTF R.d'accueil Def.physique,,,,,,,4 552 130,,,,,,4 552 130
5541,Autres ress. Jeunes en difficulte,,,,,,,,,14 273 670,,,,14 273 670
5542,Autres ressources  Sante physique,,793 609,,,,,,,,,,,793 609
5543,Autres ressources  Sante mentale,,,27 967 079,,,,,,,,,,27 967 079
5544,Autres ressources  Soutien a l'APA,,,,,68 751 199,,,,,,,,68 751 199
5545,Autres ressources  Dependances,,,,,,,,3 863 283,,,,,3 863 283
5546,Autres ressources  DI et TSA,,,,,,23 151 270,,,,,,,23 151 270
5547,Autres ressources  Def. physique,,,,,,,4 140 265,,,,,,4 140 265
5552,Suivi prof. des U en RI RTF  SPH,,6 982,,,,,,,,,,,6 982
5553,Suivi prof. des U en RI RTF  SM,,,20 626 753,,,,,,,,,,20 626 753
5554,Suivi prof. des U en RI RTF  SAPA,,,,,13 867 054,,,,,,,,13 867 054
5556,Suivi prof. des U en RI RTF DI TSA,,,,,,3 069 805,,,,,,,3 069 805
5557,Suivi prof. des U en RI RTF  DP,,,,,,,282 446,,,,,,282 446
5580,Postulants fam. d'acc. de proximite,,,,,,,,,17 327 783,,,,17 327 783
5590,Tutelle a un enfant,,,,,,,,,35 533 643,,,,35 533 643
5601,Centre de jour pour jeunes,,,,,,,,,1 769 315,,,,1 769 315
5602,Serv. d'apprent. habitudes travail,,,,,,,,,1 331 698,,,,1 331 698
5603,Programme qualification des jeunes,,,,,,,,,11 516 148,,,,11 516 148
5700,Revision des mesures,,,,,,,,,14 845 426,,,,14 845 426
5810,Expertise a la Cour superieure,,,,,,,,,3 705 343,,,,3 705 343
5820,Mediation familiale,,,,,,,,,89 805,,,,89 805
5830,Rech.d'antecedents et retrouvailles,,,,,,,,,3 654 829,,,,3 654 829
5850,Contentieux,,,,,,,,,33 656 808,,,,33 656 808
5860,Sante des jeunes,,,,,,,,,8 293 661,,,,8 293 661
5870,Adoption,,,,,,,,,14 411 396,,,,14 411 396
5900,Adm. des serv. a la clientele,,,,,,,,,,,45 393 814,,45 393 814
5910,Services psychosociaux pour les JD,,,,,,,,,205 918 933,,,,205 918 933
5921,Interv. crise ds le milieu 24/7 SG,9 156 783,,,,,,,,,,,,9 156 783
5922,Intervention et suivi de crise  SM,,,12 046 341,,,,,,,,,,12 046 341
5930,Serv.amb.de sante mentale 1re ligne,,,216 269 965,,,,,,,,,,216 269 965
5940,Soutien dans la communaute s.m.,,,115 651 436,,,,,,,,,,115 651 436
5950,Formation donnee par le personnel i,1 474 910,25 069 500,1 261 125,,2 625 289,,,,,,,,30 430 824
5960,Autres services telephoniques reg.,4 092 787,,,,,,,,,,,,4 092 787
5970,Cons. tele. psycho.24/7 Info Social,19 834 003,,,,,,,,,,,,19 834 003
5980,Sout.prof.dans les GMF et GMF R,243 494 044,,,,,,,,,,,,243 494 044
5990,Pratique des sages femmes,26 716 557,,,,,,,,,,,,26 716 557
6000,Administration des soins,,,,,,,,,,,395 892 705,,395 892 705
6010,Unites d'hos.en pedopsy. (0 17 ans),,,33 685 282,,,,,,,,,,33 685 282
6020,Unites d'hosp.en psychiatrie adulte,,,292 621 426,,,,,,,,,,292 621 426
6030,Unites d'hospit. gerontopsychiatrie,,,15 765 410,,,,,,,,,,15 765 410
6051,Medecine,,612 193 983,,,18 722 395,,,,,,,,630 916 378
6052,Chirurgie,,207 348 951,,,3 277 978,,,,,,,,210 626 929
6053,Soins intensifs,,510 317 728,,,,,,,,,,,510 317 728
6055,Pediatrie,,96 503 859,,,,,,,,,,,96 503 859
6056,Medecine et chirurgie (non reparti),,761 954 309,,,18 861 351,,,,,,,,780 815 660
6057,Unite des grands brÃ»les,,8 381 588,,,,,,,,,,,8 381 588
6058,Geriatrie active,,,,,117 673 312,,,,,,,,117 673 312
6060,Soins inf. pers. en perte d'autono.,,,,,1 177 413 297,,2 287 933,,,,,,1 179 701 230
6070,Chirurgie d'un jour,,65 369 528,,,,,,,,,,,65 369 528
6080,Soins infirmiers et d'assistance en,,50 278 340,,,,,21 212 252,,,,,,71 490 592
6090,Info Sante 8 1 1,48 488 328,,,,,,,,,,,,48 488 328
6100,Psychiatrie legale,,,70 501 438,,,,,,,,,,70 501 438
6160,Soins d'ass. pers. en perte d'auto.,,,,,1 701 445 866,,856 705,,,,,,1 702 302 571
6171,Soins inf. specialises a dom.(SPH),,6 747 198,,,,,,,,,,,6 747 198
6172,Soins inf.a domicile(sante mentale),,,2 350 833,,,,,,,,,,2 350 833
6173,Soins infirmiers a domicile regulie,84 742 050,83 479 130,5 755 561,,242 674 555,5 049 798,40 299 161,,,,,,462 000 255
6174,Soins infir. a domicile continus,,,,,16 814 157,,,,,,,,16 814 157
