Serie;No_tuile;Nom_tuile;Cover;TIFF_CCL;TIFF_MTM;PDF;FGDB
Nord;35K-so;Ivujivik;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Kso.zip
Nord;35K-se;Lac Sirmiq;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Kse.zip
Nord;35J-so;Salluit;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Jso.zip
Nord;35J-se;Baie Déception;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Jse.zip
Nord;35I-so;Rivière Hengan;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Iso.zip
Nord;35I-se;Rivière Jorian;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Ise.zip
Nord;35F-no;Baie Kovik;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Fno.zip
Nord;35F-ne;Lac Talluup;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Fne.zip
Nord;35G-no;Lac Vanasse;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Gno.zip
Nord;35G-ne;Lac Watts;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Gne.zip
Nord;35H-no;Purtuniq;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Hno.zip
Nord;35H-ne;Rivière Lacoudray;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Hne.zip
Nord;25E-no;Kangiqsujuaq;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/25Eno.zip
Nord;35G-so;Lac Allemand;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Gso.zip
Nord;35G-se;Lac Flaherty;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Gse.zip
Nord;35H-so;Lac Pingualuk;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Hso.zip
Nord;35H-se;Rivière Kimber;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/35Hse.zip
Nord;25E-so;Pointe Bégon;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/25Eso.zip
Nord;25D-ne;Lac Latourette;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/25Dne.zip
Nord;25C-no;Baie Diana;;;;;https://diffusion.mern.gouv.qc.ca/diffusion/RGQ/Vectoriel/Carte_Topo/Regional/BDAT_Nord/FGDB/25Cno.zip
