Annee_financiere,Programme,Region_administrative_des_lieux_physiques_de_l_entreprise,Nom_du_client,Forme_juridique,Cout_du_projet,Montant_approuve,Montant_revise
"2014-2015","Programme NovaScience","06 Montréal","CANAL SAVOIR","Pers. morale sans but lucratif","","500 000.0","500 000.0"
"2014-2015","Programme NovaScience","13 Laval","PHARMABIO DÉVELOPPEMENT","Pers. morale sans but lucratif","","42 223.0","42 223.0"
"2014-2015","Programme NovaScience","16 Montérégie","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL DE SAINT-HYACINTHE","Pers. morale sans but lucratif","","44 354.0","44 354.0"
"2014-2015","Programme NovaScience","06 Montréal","ESPACES TEMPS MONTRÉAL","Pers. morale sans but lucratif","","48 000.0","48 000.0"
"2014-2015","Programme NovaScience","01 Bas-Saint-Laurent","FONDATION DE RECHERCHE APPLIQUÉE DE TECHNOLOGIE PHYSIQUE DE LA POCATIÈRE INC.","Pers. morale sans but lucratif","","68 194.0","68 194.0"
"2014-2015","Programme NovaScience","11 Gaspésie?Îles-de-la-Madeleine","AMARRES ET VOILURES","Pers. morale sans but lucratif","","7 000.0","7 000.0"
"2014-2015","Programme NovaScience","06 Montréal","COLLEGE D'ENSEIGNEMENT GENERAL ET PROFESSIONNEL MARIE-VICTORIN","Pers. morale sans but lucratif","","70 000.0","70 000.0"
"2014-2015","Programme NovaScience","06 Montréal","FÉDÉRATION DES ASTRONOMES AMATEURS DU QUÉBEC","Pers. morale sans but lucratif","","30 642.0","30 642.0"
"2014-2015","Programme NovaScience","06 Montréal","ACADEMOS CYBERMENTORAT","Pers. morale sans but lucratif","","23 387.0","23 387.0"
"2014-2015","Programme NovaScience","03 Capitale-Nationale","UNIVERSITÉ LAVAL - VICE-RECTORAT À LA RECHERCHE","Pers. morale sans but lucratif","","60 676.0","60 676.0"
"2014-2015","Programme NovaScience","05 Estrie","UNIVERSITÉ DE SHERBROOKE","Autre","","9 000.0","9 000.0"
"2014-2015","Programme NovaScience","17 Centre-du-Québec","COMMISSION SCOLAIRE DES CHÊNES","Pers. morale sans but lucratif","","61 575.0","62 325.0"
"2014-2015","Programme NovaScience","03 Capitale-Nationale","L'ASSOCIATION QUEBECOISE D'INFORMATION SCOLAIRE ET PROFESSIONNELLE","Pers. morale sans but lucratif","","69 961.0","69 961.0"
"2014-2015","Programme NovaScience","06 Montréal","Prix du Québec-WU, KE","Autre","","30 000.0","30 000.0"
"2014-2015","Programme NovaScience","06 Montréal","Prix du Québec-SOUMIS, FRANÇOIS","Autre","","30 000.0","30 000.0"
"2014-2015","Programme NovaScience","06 Montréal","Prix du Québec-MEANY, MICHAEL","Autre","","30 000.0","30 000.0"
"2014-2015","Programme NovaScience","06 Montréal","Prix du Québec-LEBLANC, MARC","Autre","","30 000.0","30 000.0"
"2014-2015","Programme NovaScience","06 Montréal","Prix du Québec-LASKO, PAUL","Autre","","30 000.0","30 000.0"
"2014-2015","Programme NovaScience","06 Montréal","Prix du Québec-BOUCHARD, CAMIL ","Autre","","30 000.0","30 000.0"
"2014-2015","Programme NovaScience","06 Montréal","LES SCIENTIFINES","Pers. morale sans but lucratif","","36 000.0","36 000.0"
"2014-2015","Programme NovaScience","03 Capitale-Nationale","ASSOCIATION QUÉBÉCOISE AUTOCHTONE EN SCIENCE ET EN INGÉNIERIE","Pers. morale sans but lucratif","","9 365.0","9 365.0"
"2014-2015","Programme NovaScience","03 Capitale-Nationale","COMPÉTENCES QUÉBEC","Pers. morale sans but lucratif","","26 514.0","26 514.0"
"2014-2015","Programme NovaScience","03 Capitale-Nationale","COLLÈGE D'ENSEIGNEMENT GÉNÉRAL ET PROFESSIONNEL FRANÇOIS-XAVIER GARNEAU","Pers. morale sans but lucratif","","33 319.0","33 319.0"
"2014-2015","Programme NovaScience","16 Montérégie","ALLIANCE POUR L'ENSEIGNEMENT DE LA SCIENCE ET DE LA TECHNOLOGIE (AEST)","Pers. morale sans but lucratif","","33 000.0","33 000.0"
"2014-2015","Programme NovaScience","16 Montérégie","ALLIANCE POUR L'ENSEIGNEMENT DE LA SCIENCE ET DE LA TECHNOLOGIE (AEST)","Pers. morale sans but lucratif","","120 000.0","120 000.0"
"2014-2015","Programme NovaScience","06 Montréal","PUBLICATIONS BLD INC.","Société par actions","","189 819.0","189 819.0"
"2014-2015","Programme NovaScience","06 Montréal","VÉLO QUÉBEC ÉDITIONS","Pers. morale sans but lucratif","","147 739.0","147 739.0"
"2014-2015","Programme NovaScience","03 Capitale-Nationale","Prix chapeau les filles","Pers. morale sans but lucratif","","37 000.0","31 000.0"
"2015-2016","Programme NovaScience","06 Montréal","AGENCE SCIENCE-PRESSE","Pers. morale sans but lucratif","","370 806.0","494 408.0"
"2015-2016","Programme NovaScience","06 Montréal","ACFAS INC.","Pers. morale sans but lucratif","","972 816.0","1 080 907.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","BOÎTE À SCIENCE-CONSEIL DU LOISIR SCIENTIFIQUE DE QUÉBEC","Pers. morale sans but lucratif","","410 340.0","467 175.0"
"2015-2016","Programme NovaScience","06 Montréal","RÉSEAU TECHNOSCIENCE","Pers. morale sans but lucratif","","1 049 310.0","1 195 048.0"
"2015-2016","Programme NovaScience","07 Outaouais","TECHNOSCIENCE OUTAOUAIS","Pers. morale sans but lucratif","","352 587.0","405 151.0"
"2015-2016","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","365 670.0","450 776.0"
"2015-2016","Programme NovaScience","02 Saguenay?Lac-Saint-Jean","TECHNOSCIENCE SAGUENAY-LAC-SAINT-JEAN","Pers. morale sans but lucratif","","419 799.0","470 188.0"
"2015-2016","Programme NovaScience","08 Abitibi-Témiscamingue","TECHNOSCIENCE ABITIBI-TÉMISCAMINGUE","Pers. morale sans but lucratif","","373 194.0","429 870.0"
"2015-2016","Programme NovaScience","01 Bas-Saint-Laurent","TECHNOSCIENCE EST-DU-QUÉBEC","Pers. morale sans but lucratif","","361 080.0","402 136.0"
"2015-2016","Programme NovaScience","05 Estrie","TECHNOSCIENCE ESTRIE","Pers. morale sans but lucratif","","420 915.0","508 802.0"
"2015-2016","Programme NovaScience","06 Montréal","SCIENCE POUR TOUS","Pers. morale sans but lucratif","","380 586.0","522 448.0"
"2015-2016","Programme NovaScience","09 Côte-Nord","TECHNOSCIENCE CÔTE-NORD","Pers. morale sans but lucratif","","117 207.0","162 877.0"
"2015-2016","Programme NovaScience","05 Estrie","TECHNOSCIENCE ESTRIE","Pers. morale sans but lucratif","","15 000.0","15 000.0"
"2015-2016","Programme NovaScience","04 Mauricie","TECHNOSCIENCE MAURICIE-CENTRE-DU-QUÉBEC","Pers. morale sans but lucratif","","15 000.0","15 000.0"
"2015-2016","Programme NovaScience","06 Montréal","RÉSEAU TECHNOSCIENCE","Pers. morale sans but lucratif","","160 000.0","160 000.0"
"2015-2016","Programme NovaScience","06 Montréal","ASSOCIATION POUR LE DÉVELOPPEMENT DE LA RECHERCHE ET DE L'INNOVATION DU QUÉBEC","Pers. morale sans but lucratif","","70 000.0","70 000.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DES PREMIÈRES- SEIGNEURIES","Pers. morale sans but lucratif","","21 540.0","21 540.0"
"2015-2016","Programme NovaScience","14 Lanaudière","CÉGEP RÉGIONAL DE LANAUDIÈRE","Pers. morale sans but lucratif","","34 990.0","34 990.0"
"2015-2016","Programme NovaScience","04 Mauricie","CÉGEP SHAWINIGAN","Pers. morale sans but lucratif","","14 300.0","14 300.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","CÉGEP LIMOILOU","Pers. morale sans but lucratif","","17 630.0","17 630.0"
"2015-2016","Programme NovaScience","04 Mauricie","COLLÈGE LAFLÈCHE","Pers. morale sans but lucratif","","35 000.0","35 000.0"
"2015-2016","Programme NovaScience","17 Centre-du-Québec","COMMISSION SCOLAIRE DE LA RIVERAINE","Pers. morale sans but lucratif","","23 165.0","20 400.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DES DÉCOUVREURS","Pers. morale sans but lucratif","","24 928.0","22 383.0"
"2015-2016","Programme NovaScience","16 Montérégie","COMMISSION SCOLAIRE DES HAUTES-RIVIÈRES","Pers. morale sans but lucratif","","33 540.0","33 540.0"
"2015-2016","Programme NovaScience","03 Capitale-Nationale","COMMISSION SCOLAIRE DE LA CAPITALE","Pers. morale sans but lucratif","","13 252.0","10 950.0"
