"rescode","resgroupe","rescodetitre","restitre","resentreefonction","resnom","resprenom","resestvacant"
"14075","Responsable","246A","Resp. émission permis/certif. mun.","2013-01-01","Lévesque","Hélène","non"
"30045","Direction","305A","Responsable des travaux publics","2022-04-13","Côté","René","non"
"30045","Conseiller","002A","Conseiller n° 2","2022-03-28","Bruneau","Hébert","non"
"30045","Responsable","203A","Secrétaire","2021-11-17","Champagne","Cathy","non"
"30045","Mairie","000A","Maire","2021-11-07","Gendron","Daniel","non"
"30045","Conseiller","001B","Conseillère n° 1","2021-11-07","Boulet","Danielle","non"
"30045","Conseiller","005A","Conseiller n° 5","2021-10-01","Poirier","Daniel","non"
"30045","Conseiller","004B","Conseillère n° 4","2021-10-01","Rodrigue","Julie","non"
"30045","Responsable","248A","Inspecteur en bâtiment","2022-10-17","Baron-Deblois","Judy","non"
"30045","Direction","348C","Resp. Réseaux / Services publics","2023-04-26","Coutu","Guillaume","non"
"30045","Présidence","307A","Président comité consult. urbanisme","2023-04-26","Josée","Blais","non"
"30045","Conseiller","003A","Conseiller n° 3","2017-10-06","Grenier","Richard","non"
"30045","Conseiller","006B","Conseillère n° 6","2013-10-04","Bouffard","Lynda","non"
"30045","Direction","209A","Directeur général","2020-07-03","Ayachi","Ali Mohammed","non"
"30045","Responsable","205A","Greffier-trésorier","2020-07-04","Ayachi","Ali Mohammed","non"
"30045","Direction","223A","Coordonnateur mesures d'urgence","2020-07-03","Ayachi","Ali Mohammed","non"
"30045","Direction","215A","Directeur/Chef brigade des pompiers","2016-06-26","Côté","Éric","non"
"30050","Direction","210A","Directeur général adjoint","2017-02-06","Grégoire","Anne-Marie","non"
"30050","Responsable","242A","Inspecteur destr. mauvaises herbes","2019-07-02","Boulanger","Richard","non"
"30050","Responsable","247A","Inspecteur municipal","2019-07-02","Boulanger","Richard","non"
"30050","Responsable","206B","Greffière-trésorière adjointe","2017-02-06","Grégoire","Anne-Marie","non"
"30050","Mairie","000A","Maire","2021-11-07","Dumas","Pierre","non"
"30050","Conseiller","006A","Conseiller n° 6","2021-10-01","Rodrigue","Yvan","non"
"30050","Conseiller","003A","Conseiller n° 3","2021-10-01","Bernier","Jean-Philippe","non"
"30050","Conseiller","001A","Conseiller n° 1","2017-11-05","Boulet","Jean-François","non"
"30050","Conseiller","002A","Conseiller n° 2","2014-07-06","Lapierre","Jean-Guy","non"
"30050","Conseiller","004A","Conseiller n° 4","2018-09-21","Gosselin","Réal","non"
"30050","Conseiller","005A","Conseiller n° 5","2017-10-06","Boulanger","François","non"
"30050","Responsable","203A","Secrétaire","2007-03-12","Grégoire","Anne-Marie","non"
"30050","Responsable","205B","Greffière-trésorière","2015-03-02","Domingue","Nicole","non"
"30050","Direction","209B","Directrice générale","2015-03-02","Domingue","Nicole","non"
"30050","Direction","223B","Coordonnatrice mesures d'urgence","2015-03-02","Domingue","Nicole","non"
"30050","Direction","215A","Directeur/Chef brigade des pompiers","2016-10-03","Mercier","René","non"
"30050","Responsable","244A","Resp. règl. rel. install. septiques","2009-11-26","Mathieu","Yvan","non"
"30050","Responsable","246A","Resp. émission permis/certif. mun.","2009-11-26","Mathieu","Yvan","non"
"30050","Présidence","307A","Président comité consult. urbanisme","2013-09-23","Wood","Paul","non"
"30055","Mairie","000B","Mairesse","2021-11-07","Provencher","Danièle","non"
"30055","Conseiller","001B","Conseillère n° 1","2021-10-01","Bélanger","Marthe","non"
"30055","Conseiller","005B","Conseillère n° 5","2021-10-01","Leblanc","Stéphanie","non"
"30055","Direction","306A","Responsable de l'environnement","2023-06-05","Martel","Valérie","non"
"30055","Responsable","244A","Resp. règl. rel. install. septiques","2023-06-05","Martel","Valérie","non"
"30055","Responsable","246A","Resp. émission permis/certif. mun.","2023-06-05","Martel","Valérie","non"
"30055","Responsable","251A","Inspecteur en environnement","2023-06-05","Martel","Valérie","non"
"30055","Responsable","248A","Inspecteur en bâtiment","2023-06-05","Martel","Valérie","non"
"30055","Responsable","203C","Adjointe administrative","2023-02-13","Bolduc-Langevin","Geneviève","non"
"30055","Direction","315C","Resp. rés. aqueduc, égouts et ass.","2023-01-09","Coutu","Guillaume","non"
"30055","Conseiller","006B","Conseillère n° 6","2022-10-13","Bouffard","Byanca","non"
"30055","Conseiller","002A","Conseiller n° 2","2023-04-12","Bédard","Samuel","non"
"30055","Conseiller","003A","Conseiller n° 3","2017-11-05","Fortin","Germain","non"
"30055","Conseiller","004A","Conseiller n° 4","2015-09-27","Béliveau","André","non"
"30055","Présidence","307A","Président comité consult. urbanisme","2017-10-06","Béliveau","André","non"
"30055","Responsable","205B","Greffière-trésorière","2006-12-04","Larochelle","France","non"
"30055","Direction","209B","Directrice générale","2006-12-04","Larochelle","France","non"
"30055","Direction","215D","Directrice serv. sécurité incendie","2020-06-09","L'Heureux","Véronique","non"
"30070","Direction","209B","Directrice générale","2022-02-08","Tanguay","Sandy","non"
"30070","Responsable","205B","Greffière-trésorière","2022-02-08","Tanguay","Sandy","non"
"30070","Conseiller","003A","Conseiller n° 3","2021-10-01","Gagné","Daniel","non"
"30070","Mairie","000A","Maire","2009-11-01","Lachance","Jeannot","non"
"30070","Conseiller","001A","Conseiller n° 1","2018-04-27","Gagné","Gilbert","non"
"30070","Conseiller","002A","Conseiller n° 2","2018-10-26","Jolin","Robert","non"
"30070","Conseiller","004A","Conseiller n° 4","2017-10-18","Doyon","Denis","non"
"30070","Conseiller","005A","Conseiller n° 5","2013-10-04","Nadeau","Jean-Luc","non"
"30070","Conseiller","006A","Conseiller n° 6","2013-12-08","Lachance","Marcellin","non"
"30070","Présidence","307A","Président comité consult. urbanisme","2018-03-12","Lachance","Marcellin","non"
"30070","Direction","215A","Directeur/Chef brigade des pompiers","2011-12-05","Sirois","François","non"
"30070","Direction","223A","Coordonnateur mesures d'urgence","1985-03-15","Doyon","Denis","non"
"30070","Responsable","243A","Inspecteur municipal et de voirie","2018-08-06","Vachon","Rock","non"
"30070","Direction","305A","Responsable des travaux publics","2018-08-06","Vachon","Rock","non"
"30070","Responsable","246A","Resp. émission permis/certif. mun.","2014-11-12","Boulet","Jean-François","non"
"30072","Mairie","111A","Maire suppléant","2021-11-07","Destrijker","Frédéric","non"
"30072","Conseiller","001A","Conseiller n° 1","2021-11-07","Destrijker","Frédéric","non"
"30072","Direction","345E","Responsable de l'aménagement","2021-11-07","Duplessis","Carole","non"
"30072","Conseiller","002B","Conseillère n° 2","2021-10-01","Duplessis","Carole","non"
"30072","Direction","304A","Responsable des loisirs","2021-11-07","Maheux","Geneviève","non"
"30072","Conseiller","006B","Conseillère n° 6","2021-11-07","Maheux","Geneviève","non"
"30072","Présidence","307A","Président comité consult. urbanisme","2021-11-07","Fillion","Solange","non"
"30072","Conseiller","003B","Conseillère n° 3","2021-11-07","Fillion","Solange","non"
"30072","Mairie","000A","Maire","2021-11-07","Poulin","Denis","non"
"30072","Responsable","205B","Greffière-trésorière","2023-03-06","Roy","Bernard","non"
"30072","Direction","209A","Directeur général","2023-03-06","Roy","Bernard","non"
"30072","Direction","315C","Resp. rés. aqueduc, égouts et ass.","2023-11-08","","","oui"
"30072","Conseiller","004A","Conseiller n° 4","2017-10-06","Purcell","Goderic","non"
"30072","Conseiller","005A","Conseiller n° 5","2009-10-02","Nadeau","Roger","non"
"30072","Direction","301A","Responsable des communications","2009-10-02","Nadeau","Roger","non"
"30072","Direction","210B","Directrice générale adjointe","2018-12-11","Richard","Julie","non"
"30072","Responsable","203C","Adjointe administrative","2018-10-01","Richard","Julie","non"
"30072","Direction","215A","Directeur/Chef brigade des pompiers","1998-02-25","Morin","Vincent","non"
"30072","Responsable","243A","Inspecteur municipal et de voirie","2006-04-24","Morin","Marc","non"
"30072","Direction","305A","Responsable des travaux publics","2006-04-24","Morin","Marc","non"
"30072","Responsable","246A","Resp. émission permis/certif. mun.","2014-11-13","Boulet","Jean-François","non"
"30085","Direction","315C","Resp. rés. aqueduc, égouts et ass.","2021-04-13","Breton","Frédéric","non"
"30085","Responsable","242A","Inspecteur destr. mauvaises herbes","2021-05-21","Boulanger","Simon","non"
"30085","Responsable","243A","Inspecteur municipal et de voirie","2021-05-01","Boulanger","Simon","non"
"30085","Direction","305A","Responsable des travaux publics","2021-05-01","Boulanger","Simon","non"
"30085","Présidence","307B","Présidente com. consult. urbanisme","2021-12-13","Claudia ","Bloduc","non"
"30085","Responsable","205B","Greffière-trésorière","2021-11-01","Cloutier","Nadia","non"
"30085","Direction","209B","Directrice générale","2021-11-01","Cloutier","Nadia","non"
"30085","Responsable","246A","Resp. émission permis/certif. mun.","2021-04-20","","","oui"
"30085","Conseiller","005A","Conseiller n° 5","2021-10-01","Paradis","Yvan","non"
"30085","Conseiller","002B","Conseillère n° 2","2021-10-01","Bélanger","Véronique","non"
"30085","Mairie","000B","Mairesse","2013-11-03","Bisson","France","non"
"30085","Conseiller","001A","Conseiller n° 1","2017-10-06","Therrien","Francis","non"
"30085","Conseiller","003B","Conseillère n° 3","2017-10-06","Bolduc","Claudia","non"
"30085","Conseiller","004A","Conseiller n° 4","2013-10-04","Blouin","Nicolas","non"
"30085","Conseiller","006A","Conseiller n° 6","2017-10-06","Jacques","Philippe","non"
"30085","Direction","210A","Directeur général adjoint","2021-11-01","Rouleau","Martine","non"
"30085","Responsable","206A","Greffier-trésorier adjoint","2021-11-01","Rouleau","Martine","non"
"30085","Direction","223B","Coordonnatrice mesures d'urgence","1989-07-01","Rouleau","Martine","non"
"30085","Direction","215A","Directeur/Chef brigade des pompiers","2003-12-20","Boulanger","Nelson","non"
"30095","Conseiller","003A","Conseiller n° 3","2021-11-07","Lachance","Roch","non"
"30095","Conseiller","004A","Conseiller n° 4","2021-10-01","Villeneuve","Alain","non"
"30095","Conseiller","005A","Conseiller n° 5","2021-11-07","Couture","Pierre","non"
"30095","Conseiller","002A","Conseiller n° 2","2021-10-01","Breton","Fréderic","non"
"30095","Direction","209A","Directeur général","2024-08-12","Deslongchamps","Yves","non"
"30095","Responsable","224A","Responsable accès aux documents","2024-08-12","Deslongchamps","Yves","non"
"30095","Responsable","205A","Greffier-trésorier","2024-08-12","Deslongchamps","Yves","non"
"30095","Direction","223A","Coordonnateur mesures d'urgence","2024-08-12","Deslongchamps","Yves","non"
"30095","Responsable","243A","Inspecteur municipal et de voirie","2024-04-03","","","oui"
"30095","Mairie","000A","Maire","2012-10-29","Breton","Ghislain","non"
"30095","Conseiller","001A","Conseiller n° 1","2017-11-05","Lemay","Pierre","non"
"30095","Conseiller","006A","Conseiller n° 6","2017-11-05","Lamontagne","Michel","non"
"30095","Direction","215A","Directeur/Chef brigade des pompiers","2010-07-13","Fillion","Michel","non"
"30095","Responsable","242A","Inspecteur destr. mauvaises herbes","2009-04-08","Blanchette","Robert","non"
"30095","Responsable","244A","Resp. règl. rel. install. septiques","2009-04-08","Blanchette","Robert","non"
"30095","Responsable","246A","Resp. émission permis/certif. mun.","2009-04-08","Blanchette","Robert","non"
"30095","Responsable","248A","Inspecteur en bâtiment","2009-04-08","Blanchette","Robert","non"
"30095","Responsable","250A","Inspecteur en urbanisme","2009-04-08","Blanchette","Robert","non"
"30100","Direction","315C","Resp. rés. aqueduc, égouts et ass.","2017-05-01","Goulet","Alain","non"
"30100","Conseiller","006B","Conseillère n° 6","2021-11-07","Hallée","Lucette","non"
"30100","Conseiller","002A","Conseiller n° 2","2021-10-01","Fillion","Francis","non"
"30100","Mairie","000B","Mairesse","2021-11-07","Roy","Suzie","non"
"30100","Conseiller","005A","Conseiller n° 5","2021-11-07","Gendron","Gilles","non"
"30100","Conseiller","001A","Conseiller n° 1","2021-11-07","Isabel","Gino","non"
"30100","Conseiller","004A","Conseiller n° 4","2021-11-07","Labrecque","Richard","non"
"30100","Conseiller","003A","Conseiller n° 3","2005-10-14","Jacques","Gérard","non"
"30100","Direction","304A","Responsable des loisirs","2006-11-13","Tardif","André","non"
"30100","Responsable","205B","Greffière-trésorière","2019-04-08","Chicoine","Nicole","non"
"30100","Direction","209B","Directrice générale","2019-04-08","Chicoine","Nicole","non"
"30100","Responsable","206B","Greffière-trésorière adjointe","2019-04-08","Maher","Jacinthe","non"
"30100","Direction","210B","Directrice générale adjointe","2019-04-08","Maher","Jacinthe","non"
"30100","Direction","215A","Directeur/Chef brigade des pompiers","2020-02-03","Fillion","Michel","non"
"30100","Responsable","242A","Inspecteur destr. mauvaises herbes","1900-01-01","","","oui"
"30100","Responsable","243A","Inspecteur municipal et de voirie","2020-08-24","Isabel","Jacques-Alain","non"
"30100","Direction","305A","Responsable des travaux publics","2020-08-24","Isabel","Jacques-Alain","non"
"30100","Responsable","244A","Resp. règl. rel. install. septiques","2017-02-13","Mercier","Catherine","non"
"30100","Responsable","246A","Resp. émission permis/certif. mun.","2017-02-13","Mercier","Catherine","non"
"30100","Direction","303A","Responsable de l'urbanisme","2017-02-13","Mercier","Catherine","non"
"30100","Présidence","307A","Président comité consult. urbanisme","2006-04-04","Rodrigue","Rénald","non"
"30105","Responsable","205B","Greffière-trésorière","2021-07-17","Fillion","Lynda","non"
"30105","Direction","209B","Directrice générale","2021-07-17","Fillion","Lynda","non"
"30105","Mairie","000B","Mairesse","2021-10-01","Brouard","Martine","non"
"30105","Direction","304A","Responsable des loisirs","2021-10-13","Boivin","Richard","non"
"30105","Conseiller","003A","Conseiller n° 3","2021-10-01","Boivin","Richard","non"
"30105","Responsable","203C","Adjointe administrative","2022-09-26","Patry","Hélène","non"
"30105","Responsable","248A","Inspecteur en bâtiment","2021-06-01","Simoneau-Roy","Sacha","non"
"30105","Conseiller","001B","Conseillère n° 1","2018-11-14","Bouchard","Linda","non"
"30105","Conseiller","002A","Conseiller n° 2","2017-10-06","Béliveau","Renald","non"
"30105","Conseiller","004A","Conseiller n° 4","2013-12-04","Cameron","Réal","non"
"30105","Conseiller","005A","Conseiller n° 5","2013-12-04","Boulanger","Réjean","non"
"30105","Conseiller","006B","Conseillère n° 6","2017-10-06","Audet","Rachelle","non"
"30105","Responsable","243A","Inspecteur municipal et de voirie","2012-05-14","Carrier","Réjean","non"
"30105","Direction","305A","Responsable des travaux publics","2012-05-14","Carrier","Réjean","non"
"30105","Présidence","307A","Président comité consult. urbanisme","1999-06-01","Rousseau","Michel","non"
"39117","Direction","209A","Directeur général","2021-09-13","Boucher","Simon","non"
"39117","Direction","223A","Coordonnateur mesures d'urgence","2021-09-13","Boucher","Simon","non"
"39117","Direction","210A","Directeur général adjoint","2022-11-07","Jutras","Jocelyn","non"
"39117","Présidence","307A","Président comité consult. urbanisme","2022-01-01","Basque","Catherine","non"
"39117","Conseiller","002B","Conseillère n° 2","2021-10-01","Langlois","Marlène","non"
"39117","Conseiller","004A","Conseiller n° 4","2021-11-07","Gélinas","Richard","non"
"39117","Conseiller","005B","Conseillère n° 5","2021-10-01","Guenet","Mélanie","non"
"39117","Conseiller","003B","Conseillère n° 3","2021-11-07","Lamontagne","Sarah","non"
"39117","Conseiller","006A","Conseiller n° 6","2021-10-01","Bournival","Manuel","non"
"39117","Mairie","000B","Mairesse","2021-11-07","Ricard","Julie","non"
"39117","Conseiller","001A","Conseiller n° 1","2005-11-06","Pinard","Patrice","non"
