"mrccod","mrcnom","mrcadr1","mrcadr2","mrcadr3","mrcadr4","mrccodp","mrctel","mrcfax","mrccourriel","mrcweb","president","prefet","tres","sectres","amenage","urbanisme"
"AR020","Le Rocher-Percé","129, boulevard René-Lévesque O., Bur. 101","Chandler","129, boulevard René-Lévesque O., Bur. 101","Chandler","G0C1K0","4186894313","4186895807","mrc@rocherperce.qc.ca","www.mrcrocherperce.qc.ca","","Samuel Parisé","","Christine Roussy","Christine Roussy",""
"AR030","La Côte-de-Gaspé","298A, boulevard de York S.","Gaspé","298A, boulevard de York S.","Gaspé","G4X2L6","4183687000","4183688181","mrc@cotedegaspe.ca","www.cotedegaspe.ca","","Daniel Côté","","Bruno Bernatchez","Pascal Caron-Savard",""
"AR040","La Haute-Gaspésie","464, boulevard Sainte-Anne O.","Sainte-Anne-des-Monts","464, boulevard Sainte-Anne O.","Sainte-Anne-des-Monts","G4V1T5","4187637791","4187637737","info@hautegaspesie.com","www.hautegaspesie.com","","Guy Bernatchez","","Maryse Létourneau","Karine Thériault",""
"AR050","Bonaventure","51, rue Notre-Dame","New Carlisle","C.P. 310","New Carlisle","G0C1Z0","4187526601","4187526657","info@mrcbonaventure.com","www.mrcbonaventure.com","","Éric Dubé","","François Bujold","Dany Voyer",""
"AR060","Avignon","473, boulevard Perron C.P. 2202","Maria","473, boulevard Perron C.P. 2202","Maria","G0C1Y0","4183642000","0000000000","info@mrcavignon.com","www.mrcavignon.com","","Mathieu Lapointe","","David Bourdages","Laurent Nadeau",""
"AR070","La Matapédia","420, route 132 O.","Amqui","420, route 132 O.","Amqui","G5J2G6","4186292053","4186293195","administration@mrcmatapedia.quebec","www.mrcmatapedia.qc.ca","","Chantale Lavoie","","Joël Tremblay","Bertin Denis","Bertin Denis"
"AR080","La Matanie","158, rue Soucy, 2ième Ét.","Matane","158, rue Soucy, 2ième Ét.","Matane","G4W2E3","4185626734","4185627265","mrcdelamatanie@lamatanie.ca","www.lamatanie.ca","","Gérald Beaulieu","","Line Ross","","Olivier Banville"
"AR090","La Mitis","1534, boulevard Jacques-Cartier","Mont-Joli","1534, boulevard Jacques-Cartier","Mont-Joli","G5H2V8","4187758445","4187759303","mrcmitis@mitis.qc.ca","www.mrcmitis.ca","","Bruno Paradis","","Marcel Moreau","Poste Vacant",""
"AR100","Rimouski-Neigette","23, rue de l'Évêché O., Bur. 200","Rimouski","23, rue de l'Évêché O., Bur. 200","Rimouski","G5L4H4","4187245154","4187254567","administration@mrc-rn.ca","www.mrcrimouskineigette.qc.ca","","Francis St-Pierre","","Jean-Maxime Dubé","Taylor Olsen",""
"AR110","Les Basques","400-2, rue Jean-Rioux","Trois-Pistoles","400-2, rue Jean-Rioux","Trois-Pistoles","G0L4K0","4188513206","4188513171","mrc@mrcdesbasques.com","www.mrcdesbasques.com","","Bertin Denis","","Claude Dahl","",""
"AR120","Rivière-du-Loup","310, rue Saint-Pierre","Rivière-du-Loup","310, rue Saint-Pierre","Rivière-du-Loup","G5R3V3","4188672485","4188673100","administration@mrcrdl.quebec","https://mrcriviereduloup.ca/","","Michel Lagacé","","Patricia Trudel","Vincent Bélanger",""
"AR130","Témiscouata","5, rue de l'Hôtel-de-Ville, Bur. 101","Témiscouata-sur-le-Lac","5, rue de l'Hôtel-de-Ville, Bur. 101","Témiscouata-sur-le-Lac","G0L1X0","4188996725","4188992000","admin@mrctemis.ca","www.mrctemiscouata.qc.ca","","Serge Pelletier","","","Mathieu Lehoux",""
"AR140","Kamouraska","235, rue Rochette","Saint-Pascal","235, rue Rochette","Saint-Pascal","G0L3Y0","4184921660","4184922220","accueil@mrckamouraska.com","www.mrckamouraska.com","","Sylvain Roy","","Catherine Langlois","Yann Franc-Girard",""
"AR150","Charlevoix-Est","172, boulevard Notre-Dame","Clermont","172, boulevard Notre-Dame","Clermont","G4A1G1","4184393947","0000000000","direction@mrccharlevoixest.ca","www.mrccharlevoixest.ca","","Odile Comeau","","Jean-Christophe Maltais","",""
"AR160","Charlevoix","4, place de l'Église","Baie-Saint-Paul","4, place de l'Église","Baie-Saint-Paul","G3Z1T2","4184352639","4184352666","mrc@mrccharlevoix.ca","www.mrc-charlevoix.ca","","Pierre Tremblay","","Karine Horvath","Stéphane Chainé",""
"AR170","L'Islet","34, rue Fortin","Saint-Jean-Port-Joli ","34, rue Fortin","Saint-Jean-Port-Joli ","G0R3G0","4185983076","4185986880","administration@mrclislet.com","www.mrclislet.com","","Normand Caron","Frédéric Corneau","","",""
"AR180","Montmagny","6, rue Saint-Jean-Baptiste E., Bur. 300","Montmagny","6, rue Saint-Jean-Baptiste E., Bur. 300","Montmagny","G5V1J7","4182485985","4182484624","mrc@montmagny.com","www.montmagny.com","","Frédéric Jean","","Nancy Labrecque","Daniel Racine",""
"AR190","Bellechasse","100, rue Monseigneur-Bilodeau","Saint-Lazare-de-Bellechasse","100, rue Monseigneur-Bilodeau","Saint-Lazare-de-Bellechasse","G0R3J0","4188833347","4188832555","abeaudoin@mrcbellechasse.qc.ca","www.mrcbellechasse.qc.ca","","Luc Dion","","Anick Beaudoin","Poste Vacant",""
"AR200","L'Île-d'Orléans","2480, chemin Royal","Sainte-Famille-de-l'Île-d'Orléans","2480, chemin Royal","Sainte-Famille-de-l'Île-d'Orléans","G0A3P0","4188291011","4188292513","info@mrcio.qc.ca","www.mrcio.qc.ca","","Lina Labbé","","Chantale Cormier","Simon Lemieux",""
"AR210","La Côte-de-Beaupré","3, rue de la Seigneurie","Château-Richer","3, rue de la Seigneurie","Château-Richer","G0A1N0","4188243444","4188243917","info@mrccotedebeaupre.qc.ca","www.mrccotedebeaupre.com","","Pierre Lefrançois","","Jean-François Guillot","Gabrielle Rivard",""
"AR220","La Jacques-Cartier","60, rue Saint-Patrick","Shannon","60, rue Saint-Patrick","Shannon","G3S1P8","4188442160","4188442664","mrcjc@mrc.jacques-cartier.com","www.mrc.jacques-cartier.com","","Sébastien Couture","","Sandra Boucher","Nicolas Talbot",""
"AR260","La Nouvelle-Beauce","280, boulevard Vachon N., Bur. 200","Sainte-Marie","280, boulevard Vachon N., Bur. 200","Sainte-Marie","G6E0H2","4183873444","4183877060","mrc@nouvellebeauce.com","www.nouvellebeauce.com","","Gaétan Vachon","","Nancy Labbé","",""
"AR270","Beauce-Centre","C.P. 2307","Beauceville","C.P. 2307","Beauceville","G5X1A0","4187749828","0000000000","mrcrc@beaucerc.com","www.beaucerc.com","","Jonathan V. Bolduc","","Jacques Bussières","Geneviève Turgeon",""
"AR280","Les Etchemins","223, avenue 2e C.P. 4480","Lac-Etchemin","223, avenue 2e C.P. 4480","Lac-Etchemin","G0R1S0","4186259000","4186259005","mrc@mrcetchemins.qc.ca","www.mrcetchemins.qc.ca","","Camil Turmel","","","Mathieu Turcotte",""
"AR290","Beauce-Sartigan","2727, boulevard Dionne","Saint-Georges","2727, boulevard Dionne","Saint-Georges","G5Y3Y1","4182288418","4182283709","direction.mrc@mrcbeaucesartigan.com","www.mrcbeaucesartigan.com","","Dany Quirion","","Éric Paquet","Louise Roy",""
"AR300","Le Granit","5600, rue Frontenac","Lac-Mégantic","5600, rue Frontenac","Lac-Mégantic","G6B1H5","8195830181","8195835327","secretariat@mrcgranit.qc.ca","www.mrcgranit.qc.ca","Ghislain Breton","Monique Pherivong Lenoir","","Sonia Cloutier","Patrice Gagné",""
"AR310","Les Appalaches","233, boulevard Frontenac O.","Thetford Mines","233, boulevard Frontenac O.","Thetford Mines","G6G6K2","4183322757","4183355122","finances@mrcdesappalaches.ca","www.mrcdesappalaches.ca","","Marc-Alexandre Brousseau","","Rick Lavergne","","Gina Turgeon"
"AR320","L'Érable","1275, avenue Saint-Édouard","Plessisville","1275, avenue Saint-Édouard","Plessisville","G6L2K1","8193622333","0000000000","mrc@erable.ca","www.erable.ca","","Gilles Fortier","","Raphaël Teyssier","",""
"AR330","Lotbinière","6375, rue Garneau","Sainte-Croix","6375, rue Garneau","Sainte-Croix","G0S2H0","4189263407","4189263409","info@mrclotbiniere.org","www.mrclotbiniere.org","","Daniel Turcotte","","Stéphane Bergeron","Pablo Monténégro Rousseau","Pablo Montenegro Rousseau"
"AR340","Portneuf","185, route 138","Cap-Santé","185, route 138","Cap-Santé","G0A1L0","4182853744","4182851703","portneuf@mrc-portneuf.qc.ca","www.portneuf.ca","","Bernard Gaudreau","","Josée Frenette","Jean Lessard",""
"AR350","Mékinac","560, rue Notre-Dame","Saint-Tite","560, rue Notre-Dame","Saint-Tite","G0X3H0","4183655151","4183657377","mrcmekinac@mrcmekinac.com","www.mrcmekinac.com","","Caroline Clément","","Nathalie Groleau","Louis Filteau",""
"AR372","Des Chenaux","630, rue Principale","Saint-Luc-de-Vincennes","630, rue Principale","Saint-Luc-de-Vincennes","G0X3K0","8198400704","8192955117","info@mrcdeschenaux.ca","www.mrcdeschenaux.ca","","Guy Veillette","","Patrick Baril","Danny Roy",""
"AR380","Bécancour","3689, boulevard Bécancour, Bur. 1","Bécancour","3689, boulevard Bécancour, Bur. 1","Bécancour","G9H3W7","8192982070","8192982041","info@mrcbecancour.qc.ca","www.mrcbecancour.qc.ca","","Mario Lyonnais","","Daniel Béliveau","Julie Dumont",""
"AR390","Arthabaska","150, rue Notre-Dame O.","Victoriaville","150, rue Notre-Dame O.","Victoriaville","G6P1R9","8197522444","0000000000","info@mrc-arthabaska.qc.ca","www.regionvictoriaville.com","","Christian Côté","","Frédérick Michaud","",""
"AR400","Les Sources","309, rue Chassé","Val-des-Sources","309, rue Chassé","Val-des-Sources","J1T2B4","8198796661","0000000000","mrc.info@mrcdessources.com","www.mrcdessources.com","","Hugues Grimard","","Frédéric Marcotte","Philippe LeBel",""
"AR410","Le Haut-Saint-François","85, rue du Parc","Cookshire-Eaton","85, rue du Parc","Cookshire-Eaton","J0B1M0","8195608400","8195608479","dominic.provost@hsfqc.ca","www.mrchsf.com","","Robert G. Roy","","Dominic Provost","Nathalie Laberge",""
"AR420","Le Val-Saint-François","810, montée du Parc","Richmond","810, rue Montée du parc","Richmond","J0B2H0","8198266505","0000000000","info.mrc@mrcvsf.ca","https://val-saint-francois.qc.ca/","","Pierre Tétrault","","","Karine Bonneville",""
"AR440","Coaticook","294, rue Saint-Jacques N.","Coaticook","294, rue Saint-Jacques N.","Coaticook","J1A2R3","8198499166","8198494320","info@mrcdecoaticook.qc.ca","www.mrcdecoaticook.qc.ca","","Bernard Marion","","Dominick Faucher","Marie-Claude Bernard",""
"AR450","Memphrémagog","455, rue MacDonald, Bur. 200","Magog","455, rue MacDonald, Bur. 200","Magog","J1X1M2","8198439292","8198437295","info@mrcmemphremagog.com","www.mrcmemphremagog.com","","Jacques Demers","","Guy Jauron","Philippe Vermette",""
"AR460","Brome-Missisquoi","749, rue Principale","Cowansville","749, rue Principale","Cowansville","J2K1J8","4502664900","4502666141","administration@mrcbm.qc.ca","www.mrcbm.qc.ca","","Patrick Melchior","","Mélanie Thibault","",""
"AR470","La Haute-Yamaska","142, rue Dufferin, Bur. 100","Granby","142, rue Dufferin, Bur. 100","Granby","J2G4X1","4503789975","0000000000","mrc@haute-yamaska.ca","www.haute-yamaska.ca","","Paul Sarrazin","","Jean Hogue","",""
"AR480","Acton","1037, rue Beaugrand","Acton Vale","1037, rue Beaugrand","Acton Vale","J0H1A0","4505463256","4505464991","info@mrcacton.ca","www.mrcacton.ca","","Jean-Marie Laplante","","Chantal Lavigne","Serge Dupont",""
"AR490","Drummond","436, rue Lindsay","Drummondville","436, rue Lindsay","Drummondville","J2B1G6","8194772230","8194778442","clabelle@mrcdrummond.qc.ca","www.mrcdrummond.qc.ca","","Line Fréchette","","Christine Labelle","Jean-Sébastien Brouillard",""
"AR500","Nicolet-Yamaska","257-1, rue de Monseigneur-Courchesne","Nicolet","257-1, rue de Monseigneur-Courchesne","Nicolet","J3T2C1","8195192997","8195195367","mrcny@mrcny.qc.ca","www.mrcnicolet-yamaska.qc.ca","","Geneviève Dubois","","Chantal Tardif","Stéphanie Lord",""
"AR510","Maskinongé","651, boulevard Saint-Laurent E.","Louiseville","651, boulevard Saint-Laurent E.","Louiseville","J5V1J1","8192289461","8192282193","mrcinfo@mrc-maskinonge.qc.ca","www.mrcmaskinonge.ca ","","Paul Carbonneau","","Pascale Plante","Karine Lacasse",""
"AR520","D'Autray","550, rue De Montcalm","Berthierville","550, rue De Montcalm","Berthierville","J0K1A0","4508367007","4508361576","info@mrcautray.qc.ca","www.mrcautray.qc.ca","","Christian Goulet","","Bruno Tremblay","",""
"AR530","Pierre-De Saurel","50, rue du Fort","Sorel-Tracy","50, rue du Fort","Sorel-Tracy","J3P7X7","4507432703","4507437313","info@mrcpierredesaurel.com","www.mrcpierredesaurel.com","","Vincent Deguise","","François Chalifour","",""
"AR540","Les Maskoutains","3271, boulevard Laframboise, Bur. 200","Saint-Hyacinthe","3271, boulevard Laframboise, Bur. 200","Saint-Hyacinthe","J2S4Z6","4507743141","0000000000","admin@mrcdesmaskoutains.ca","www.mrcmaskoutains.qc.ca","","Simon Giard","","","Pascal Simard",""
"AR550","Rouville","500, rue Desjardins, Bur. 100","Marieville","500, rue Desjardins, Bur. 100","Marieville","J3M1E1","4504602127","4504607169","info@mrcrouville.qc.ca","www.mrcrouville.qc.ca","","Denis Paquin","","Anne-Marie Dion","Claudie Landry",""
"AR560","Le Haut-Richelieu","380, 4e Avenue","Saint-Jean-sur-Richelieu","380, 4e Avenue","Saint-Jean-sur-Richelieu","J2X1W9","4503463636","4503468464","info@mrchr.qc.ca","www.mrchr.qc.ca","","Andrée Bouchard","","Joane Saulnier","Cynthia Gagnon",""
"AR570","La Vallée-du-Richelieu","255, boulevard Laurier, Bur. 100","McMasterville","255, boulevard Laurier, Bur. 100","McMasterville","J3G0B7","4504640339","4504643827","info@mrcvr.ca","www.mrcvr.ca","","Marilyn Nadeau","","Evelyne D'Avignon","Marie-France Jacques",""
"AR590","Marguerite-D'Youville","609, route Marie-Victorin","Verchères","609, route Marie-Victorin","Verchères","J0L2R0","4505833301","4505836575","infomrc@margueritedyouville.ca","www.margueritedyouville.ca","","Daniel Plouffe","","Sylvain Berthiaume","François Lestage",""
"AR600","L'Assomption","300A, rue Dorval","L'Assomption","300A, rue Dorval","L'Assomption","J5W3A1","4505892288","4505899430","mrcinfo@mrclassomption.qc.ca","www.mrclassomption.qc.ca","","Sébastien Nadeau","","","Martin Lapointe",""
"AR610","Joliette","632, rue De Lanaudière","Joliette","632, rue De Lanaudière","Joliette","J6E3M7","4507592237","0000000000","information@mrcjoliette.qc.ca","www.mrcjoliette.qc.ca","","Pierre-Luc Bellerose","","Nancy Fortier","Annie Maheu",""
"AR620","Matawinie","3184, 1re Avenue","Rawdon","3184, 1re Avenue","Rawdon","J0K1S0","4508345441","4508346560","administration@matawinie.org","www.matawinie.org","","Isabelle Perreault","","","",""
"AR630","Montcalm","1540, rue Albert","Sainte-Julienne","1540, rue Albert","Sainte-Julienne","J0K2T0","4508312182","4508312647","info@mrcmontcalm.com","www.mrcmontcalm.com","","Patrick Massé","","Me Nicolas Rousseau","","Patrick Gauthier"
"AR640","Les Moulins","710, boulevard des Seigneurs, 2e Ét. C.P. B.P. 204","Terrebonne","710, boulevard des Seigneurs, 2e Ét. C.P. B.P. 204","Terrebonne","J6W1T6","4504719576","4504718193","info@mrclesmoulins.ca","www.mrclesmoulins.ca","","Guillaume Tremblay","","Poste Vacant","Chantal Laliberté",""
"AR670","Roussillon","260, rue Saint-Pierre, Bur. 200","Saint-Constant","260, rue Saint-Pierre, Bur. 200","Saint-Constant","J5A2A5","4506381221","4506384499","admin@mrcroussillon.qc.ca","www.roussillon.ca","","Christian Ouellette","","Gilles Marcoux","Camille Auble",""
"AR680","Les Jardins-de-Napierville","1767, rue Principale","Saint-Michel","1767, rue Principale","Saint-Michel","J0L2J0","4504540559","0000000000","info@mrcjdn.ca","www.mrcjardinsdenapierville.ca","","Yves Boyer","","Amélie Latendresse","Francis Doyon",""
