Date,ACT_Total_RSS01,ACT_Total_RSS02,ACT_Total_RSS03,ACT_Total_RSS04,ACT_Total_RSS05,ACT_Total_RSS06,ACT_Total_RSS07,ACT_Total_RSS08,ACT_Total_RSS09,ACT_Total_RSS10,ACT_Total_RSS11,ACT_Total_RSS12,ACT_Total_RSS13,ACT_Total_RSS14,ACT_Total_RSS15,ACT_Total_RSS16,ACT_Total_RSS17,ACT_Total_RSS18,ACT_Total_RSS99
2024-08-23,28,37,129,59,65,303,28,17,18,10,11,61,48,72,61,238,2,8,1195
2024-08-22,28,39,129,64,65,312,29,17,19,10,11,60,49,72,60,240,2,8,1214
2024-08-21,30,46,134,70,62,329,30,16,18,12,12,62,48,71,63,234,2,8,1247
2024-08-20,30,48,139,73,64,326,29,15,18,12,13,64,46,68,59,231,2,8,1245
2024-08-19,25,49,139,75,60,333,31,15,18,12,15,61,50,66,56,232,2,8,1247
2024-08-18,27,52,129,75,52,332,33,18,18,13,14,62,50,62,59,231,2,8,1237
2024-08-17,27,49,122,72,50,316,33,18,16,12,17,63,43,63,59,221,2,8,1191
2024-08-16,24,47,122,66,52,309,30,18,16,11,15,62,41,57,55,220,2,8,1155
2024-08-15,18,45,117,66,52,313,29,18,17,10,14,63,43,55,49,223,2,8,1142
2024-08-14,21,42,127,68,51,311,23,18,17,10,12,63,44,48,50,242,2,8,1157
2024-08-13,21,47,133,71,52,308,20,18,19,9,12,61,45,40,51,250,2,8,1167
2024-08-12,19,50,127,67,56,318,19,13,17,9,12,62,44,23,48,253,2,8,1147
2024-08-11,20,44,131,65,56,314,19,12,18,11,8,66,41,23,50,248,2,8,1136
2024-08-10,19,43,127,59,55,312,20,11,18,12,9,62,40,21,50,247,2,8,1115
2024-08-09,18,41,124,58,55,315,20,9,17,12,8,61,40,21,47,247,2,8,1103
2024-08-08,20,37,135,56,55,309,18,8,17,9,7,62,42,22,51,256,2,8,1114
2024-08-07,20,37,129,53,56,304,18,7,17,9,7,62,40,23,53,263,2,8,1108
2024-08-06,18,41,130,55,57,315,18,8,21,8,10,61,38,23,57,266,2,8,1136
2024-08-05,18,44,130,60,57,309,18,8,22,8,11,62,36,24,54,268,2,8,1139
