nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"Maire de Montréal; TREMBLAY, Gérald","Maire - CM
Maire - CM
Maire de l'arrondissement de Ville-Marie - CM (16 909 $ réduit à 9 578 $4)
Membre du conseil d’agglomération - CG (10 551 $ réduit à 0 $4)
Membre du conseil - CMM (10 000 $ réduit à 0 $4)
Président du conseil et du comité exécutif - CMM (40 000 $ réduit à 0 $4)",,"70 772 $
75 778 $
9 578 $
0 $
0 $
0 $","X


X
X
","
X
X


X",156 128 $,15 310 $ 
"Ahuntsic-Cartierville; BRUNET, Étienne","Conseiller de la ville - CM
Vice-président CDEUH - CM",,"50 728 $
11 273 $","X
","
X",62 001 $ ,15 310 $
"Ahuntsic-Cartierville; CAMPBELL, Jocelyn Ann","Conseillère de la ville et membre CA Ville-Marie - CM
Membre du CE - CM ",,"67 234 $
40 020 $","X
","
X",107 254 $ ,15 310 $
"Ahuntsic-Cartierville; CHITILIAN, Harout","Conseiller de la ville - CM
Président du conseil - CM 
Président CPC - CM 
Membre CDEEMF - CMM (fin 29 fév. 2012, max2 7 500 $/année)",,"50 728 $
40 020 $
16 909 $
417 $","X


","
X
X
X",108 074 $ ,15 310 $ 
"Ahuntsic-Cartierville; GAGNIER, Pierre","Conseiller de la ville - CM 
Maire d’arrondissement - CM
Président CCU - CM
Membre du conseil - CMM",,"50 728 $
24 801 $ 
3 382 $
10 000 $","X


X","
X
X
",88 911 $,15 310 $
"Ahuntsic-Cartierville; THUILLIER, Émilie",Conseillère de la ville - CM,,50 728 $ ,X,,50 728 $,15 310 $
"Anjou; BEAUDRY, Gilles",Conseiller d’arrondissement - CM,,29 309 $,X,,29 309 $,14 655 $
"Anjou; Di GENOVA ZAMMIT, Michèle","Conseillère d’arrondissement - CM
Membre CEEDDGP - CM 
Présidente CCU - CM",,"29 309 $
5 636 $
3 382 $","X

","
X
X",38 327 $,15 310 $
"Anjou; HÉNAULT, Andrée","Conseillère de la ville - CM
Membre CFA - CM 
Vice-présidente CDEEMF - CMM"," 
 
Max2","50 728 $
5 636 $
12 500 $","X

","
X
X",68 864 $,15 310 $
"Anjou; MIRANDA, Luis","Conseiller de la ville - CM
Maire d’arrondissement - CM
Président CTTP - CM 
Membre du conseil d'agglomération - CG
Membre du conseil - CMM
Membre du comité exécutif - CMM",,"50 728 $
11 273 $
16 909 $
10 551 $
10 000 $
25 000 $","X


X
X
","
X
X


X",124 461 $,15 310 $
