nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"CODERRE, Denis",Maire - CM,,74 596 $,X,,165 373 $,16 216 $
Maire de Montréal,Maire - CM,,79 871 $,,X,,
Maire de Montréal,Maire de l'arrondissement de Ville-Marie - CM (17 822 $ réduit à 10 906 $4),,10 906 $,,X,,
Maire de Montréal,Membre du conseil d’agglomération - CG (11 120 $ réduit à 0 $4) ,,0 $,X,,,
Maire de Montréal,Membre du conseil - CMM (10 000 $ réduit à 0 $4),,0 $,X,,,
Maire de Montréal,Président du conseil et du comité exécutif - CMM (40 000 $ réduit à 0 $4),,0 $,,X,,
"CHITILIAN, Harout",Conseiller de la ville - CM,,53 469 $,X,,144 535 $,16 216 $
Ahuntsic-Cartierville,Vice-président du CE - CM ,,59 410 $,,X,,
Ahuntsic-Cartierville,"Membre du conseil d'agglomération - CG (fin 26 janv. 2016, 11 120 $/année)",,790 $,X,,,
Ahuntsic-Cartierville,"Membre du conseil - CMM (début 29 janv. 2016, 10 000 $/année)",,9 235 $,X,,,
Ahuntsic-Cartierville,"Membre du comité exécutif - CMM (début 25 fév. 2016, 25 000 $/année)",,21 243 $,,X,,
Ahuntsic-Cartierville,Membre CENV - CMM (max2 7 500 $ réduit à 388 $5),,388 $,,X,,
"DESROCHERS, Pierre",Conseiller de la ville - CM,,53 469 $,X,,148 836 $,16 216 $
Ahuntsic-Cartierville,Président du CE - CM,,68 916 $,,X,,
Ahuntsic-Cartierville,Membre du conseil d'agglomération - CG,,11 120 $,X,,,
Ahuntsic-Cartierville,Membre du conseil - CMM,,10 000 $,X,,,
Ahuntsic-Cartierville,Vice-président CDEEMF - CMM (max2 12 500 $ réduit à max2 5 331 $4),Max2,5 331 $,,X,,
"GAGNIER, Pierre",Conseiller de la ville - CM ,,53 469 $,X,,121 279 $,16 216 $
Ahuntsic-Cartierville,Maire d’arrondissement - CM,,26 139 $,,X,,
Ahuntsic-Cartierville,Président CCU - CM ,,3 565 $,,X,,
Ahuntsic-Cartierville,Vice-président CT - CMM ,Max2,12 500 $,,X,,
Ahuntsic-Cartierville,Membre CASTM - STM,,22 106 $,X,,,
Ahuntsic-Cartierville,"Membre CF, CSA - STM ",Max3,3 500 $,,X,,
"PAGÉ, Lorraine",Conseillère de la ville - CM,,53 469 $,X,,71 291 $,16 216 $
Ahuntsic-Cartierville,Membre CDSDM - CM,,5 940 $,,X,,
Ahuntsic-Cartierville,Présidente CIG - CM (17 822 $ réduit à 11 882 $6),,11 882 $,,X,,
"THUILLIER, Émilie",Conseillère de la ville - CM,,53 469 $,X,,89 113 $,16 216 $
Ahuntsic-Cartierville,Présidente CEC - CM,,17 822 $,,X,,
Ahuntsic-Cartierville,Leader de l'opposition - CM ,,17 822 $,,X,,
"BEAUDRY, Gilles",Conseiller d’arrondissement - CM,,30 892 $,X,,30 892 $,15 446 $
Anjou,,,,,,,
"Di GENOVA ZAMMIT, Michelle",Conseillère d’arrondissement - CM,,30 892 $,X,,42 772 $,16 216 $
Anjou,Membre CEEDDGP - CM,,5 940 $,,X,,
Anjou,Membre CCPS - CM ,,5 940 $,,X,,
"HÉNAULT, Andrée",Conseillère de la ville - CM,,53 469 $,X,,69 409 $,16 216 $
Anjou,Membre CPC - CM,,5 940 $,,X,,
Anjou,Membre du conseil - CMM,,10 000 $,X,,,
"MIRANDA, Luis",Conseiller de la ville - CM,,53 469 $,X,,68 916 $,16 216 $
Anjou,Maire d’arrondissement - CM,,11 882 $,,X,,
Anjou,Président CCU - CM ,,3 565 $,,X,,
"PERRON, Paul-Yvon",Conseiller d’arrondissement - CM,,30 892 $,X,,30 892 $,15 446 $
Anjou,,,,,,,
"COPEMAN, Russell",Conseiller de la ville - CM,,53 469 $,X,,148 836 $,16 216 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Maire d’arrondissement - CA,,43 241 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du CE - CM,,42 181 $,,X,,
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du conseil d’agglomération - CG (11 120 $ réduit à 9 945 $4),,9 945 $,X,,,
"McQUEEN, Peter",Conseiller de la ville - CM,,53 469 $,X,,53 469 $,16 216 $
Côte-des-Neiges–Notre-Dame-de-Grâce,,,,,,,
"PEREZ, Lionel",Conseiller de la ville - CM,,53 469 $,X,,145 950 $,16 216 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du CE - CM ,,42 181 $,,X,,
