nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"BLANCHARD, Laurent","Maire - CM (début 25 juin 2013, 72 259 $/année)",,37 614 $,X,,151 636 $,15 662 $
Maire de Montréal,"Maire - CM (début 25 juin 2013, 77 369 $/année)",,40 274 $,,X,,
,"Maire de l'arrondissement de Ville-Marie - CM (début 25 juin 2013, 17 264 $/année réduit à 5 253 $4)",,5 253 $,,X,,
,"Conseiller de la ville - CM (fin 24 juin 2013, 51 794 $/année)",,24 833 $,X,,,
,"Président du CE - CM (fin 24 juin 2013, 66 758 $/année)",,32 007 $,,X,,
,"Président CEC - CM (fin 29 janv. 2013, 17 264 $/année)",,1 372 $,,X,,
,Membre du conseil d’agglomération - CG (10 772 $ réduit à 4 939 $4) ,,4 939 $,X,,,
,"Président du conseil et du comité exécutif - CMM (début 25 juin 2013, 40 000 $/année réduit à 0 $4)",,0 $,,X,,
,"Membre du conseil - CMM (début 4 fév. 2013, 10 000 $/année réduit à 4 048 $4)",,4 048 $,X,,,
,"Membre du comité exécutif - CMM (14 fév. - 24 juin 2013, 25 000 $/année réduit à 1 296 $4)",,1 296 $,,X,,
"APPLEBAUM, Michael","Maire - CM (fin 18 juin 2013, 72 259 $/année)",,33 457 $,X,,73 952 $,7 252 $
(Démission 18 juin 2013),"Maire - CM (fin 18 juin 2013, 77 369 $/année)",,35 823 $,,X,,
Maire de Montréal,"Maire de l'arrondissement de Ville-Marie - CM (fin 18 juin 2013, 17 264 $/année réduit à 4 672 $4)",,4 672 $,,X,,
,"Membre du conseil d'agglomération - CG (fin 18 juin 2013, 10 772 $/année réduit à 0 $4)",,0 $,X,,,
,"Membre du conseil - CMM (fin 18 juin 2013, 10 000 $/année réduit à 0 $4)",,0 $,X,,,
,"Président du conseil et du comité exécutif - CMM (fin 18 juin 2013, 40 000 $/année réduit à 0 $4)",,0 $,,X,,
"BRUNET, Étienne",Conseiller de la ville - CM,,51 794 $,X,,82 453 $,15 662 $
Ahuntsic-Cartierville,Conseiller associé - CM,,17 264 $,,X,,
,"Membre CDEUH - CM (début 29 janv. 2013, 5 754 $/année)",,5 313 $,,X,,
,"Vice-président CDEUH - CM (fin 28 janv. 2013, 11 510 $/année)",,883 $,,X,,
,"Membre CLS - CMM (début 14 fév. 2013, max2 7 500 $/année)",Max2,7 199 $,,X,,
"CAMPBELL, Jocelyn Ann",Conseillère de la ville - CM,,51 794 $,X,,51 794 $,15 662 $
Ahuntsic-Cartierville,,,,,,,
"CHITILIAN, Harout",Conseiller de la ville - CM,,51 794 $,X,,108 463 $,15 662 $
Ahuntsic-Cartierville,Président CPC - CM ,,17 264 $,,X,,
,"Président du conseil - CM (1er janv. - 20 juin 2013 et 4 juil. - 31 déc. 2013, 40 860 $/année)",,39 405 $,,X,,
"GAGNIER, Pierre",Conseiller de la ville - CM ,,51 794 $,X,,86 137 $,15 662 $
