nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"CODERRE, Denis",Maire - CM,,73 784 $,X,,162 929 $,15 976 $
Maire de Montréal,Maire - CM,,79 002 $,,X,,
Maire de Montréal,Maire de l'arrondissement de Ville-Marie - CM (17 628 $ réduit à 10 143 $4),,10 143 $,,X,,
Maire de Montréal,Membre du conseil d’agglomération - CG (10 999 $ réduit à 0 $4) ,,0 $,X,,,
Maire de Montréal,Membre du conseil - CMM (10 000 $ réduit à 0 $4),,0 $,X,,,
Maire de Montréal,Président du conseil et du comité exécutif - CMM (40 000 $ réduit à 0 $4),,0 $,,X,,
"CHITILIAN, Harout",Conseiller de la ville - CM,,52 887 $,X,,130 150 $,15 976 $
Ahuntsic-Cartierville,Vice-président du CE - CM ,,58 764 $,,X,,
Ahuntsic-Cartierville,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
Ahuntsic-Cartierville,Membre CENV - CMM,Max2,7 500 $,,X,,
"DESROCHERS, Pierre",Conseiller de la ville - CM,,52 887 $,X,,146 636 $,15 976 $
Ahuntsic-Cartierville,Président du CE - CM,,68 166 $,,X,,
Ahuntsic-Cartierville,Membre du conseil d'agglomération - CG,,10 999 $,X,,,
Ahuntsic-Cartierville,Membre du conseil - CMM,,10 000 $,X,,,
Ahuntsic-Cartierville,Vice-président CDEEMF - CMM (max2 12 500 $ réduit à max2 4 584 $4),Max2,4 584 $,,X,,
"GAGNIER, Pierre",Conseiller de la ville - CM ,,52 887 $,X,,122 654 $,15 976 $
Ahuntsic-Cartierville,Maire d’arrondissement - CM,,25 855 $,,X,,
Ahuntsic-Cartierville,"Membre CDEUH - CM (fin 24 août 2015, 5 875 $/année)",,3 799 $,,X,,
Ahuntsic-Cartierville,"Président CCU - CM (fin 8 déc. 2015, 3 526 $/année)",,3 304 $,,X,,
Ahuntsic-Cartierville,Vice-président CT - CMM (max2 12 500 $ réduit à max2 12 107 $4),Max7,12 107 $,,X,,
Ahuntsic-Cartierville,Membre CASTM - STM,,21 779 $,X,,,
Ahuntsic-Cartierville,"Membre CF, CSA - STM (max3 3 500 $ réduit à max3 2 923 $4)",Max7,2 923 $,,X,,
"PAGÉ, Lorraine",Conseillère de la ville - CM,,52 887 $,X,,67 875 $,15 976 $
Ahuntsic-Cartierville,Membre CDSDM - CM,,5 875 $,,X,,
Ahuntsic-Cartierville,"Présidente CIG - CM (début 24 mars 2015, 17 628 $/année réduit à 11 753 $/année6)",,9 113 $,,X,,
"THUILLIER, Émilie",Conseillère de la ville - CM,,52 887 $,X,,77 373 $,15 976 $
Ahuntsic-Cartierville,Présidente CEC - CM,,17 628 $,,X,,
Ahuntsic-Cartierville,"Leader de l'opposition - CM (début 12 août 2015, 17 628 $/année)",,6 858 $,,X,,
"BEAUDRY, Gilles",Conseiller d’arrondissement - CM,,30 556 $,X,,30 556 $,15 278 $
Anjou,,,,,,,
"Di GENOVA ZAMMIT, Michelle",Conseillère d’arrondissement - CM,,30 556 $,X,,40 291 $,15 976 $
Anjou,Membre CEEDDGP - CM,,5 875 $,,X,,
Anjou,"Membre CCPS - CM (début 18 août 2015, 5 875 $/année)",,2 189 $,,X,,
Anjou,"Présidente CCU - CM (fin 22 juin 2015, 3 526 $/année) ",,1 671 $,,X,,
"HÉNAULT, Andrée",Conseillère de la ville - CM,,52 887 $,X,,68 762 $,15 976 $
Anjou,Membre CPC - CM,,5 875 $,,X,,
Anjou,Membre du conseil - CMM,,10 000 $,X,,,
"MIRANDA, Luis",Conseiller de la ville - CM,,52 887 $,X,,66 504 $,15 976 $
Anjou,Maire d’arrondissement - CM,,11 753 $,,X,,
Anjou,"Président CCU - CM (début 22 juin 2015, 3 526 $/année)",,1 864 $,,X,,
"PERRON, Paul-Yvon",Conseiller d’arrondissement - CM,,30 556 $,X,,30 556 $,15 278 $
Anjou,,,,,,,
"COPEMAN, Russell",Conseiller de la ville - CM,,52 887 $,X,,146 636 $,15 976 $
