nom_ou_arrondissement,fonctions,remunerations_afferentes_max,remunerations_afferentes,remunerations_afferentes_de_base,remunérations_afferentes_additionnelle,remunerations_total ,allocation_de_depenses
"CODERRE, Denis",Maire - CM,,72 765 $,X,,160 997 $,15 787 $
Maire de Montréal,Maire - CM,,77 911 $,,X,,
,Maire de l'arrondissement de Ville-Marie - CM (17 385 $ réduit à 10 321 $4),,10 321 $,,X,,
,Membre du conseil d’agglomération - CG (10 847 $ réduit à 0 $4) ,,0 $,X,,,
,Membre du conseil - CMM (10 000 $ réduit à 0 $4),,0 $,X,,,
,Président du conseil et du comité exécutif - CMM (40 000 $ réduit à 0 $4),,0 $,,X,,
"CHITILIAN, Harout",Conseiller de la ville - CM,,52 157 $,X,,128 848 $,15 787 $
Ahuntsic-Cartierville,Vice-président du CE - CM ,,57 953 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,"Membre CSADM - CG (27 mars - 18 sept. 2014, max1 5 424 $/année)",,542 $,,X,,
,"Membre CENV - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"DESROCHERS, Pierre",Conseiller de la ville - CM,,52 157 $,X,,144 897 $,15 787 $
Ahuntsic-Cartierville,Président du CE - CM,,67 225 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Vice-président CDEEMF - CMM (début 23 janv. 2014, max2 12 500 $/année réduit à max2 4 668 $/année4)",Max2,4 668 $,,X,,
"GAGNIER, Pierre",Conseiller de la ville - CM ,,52 157 $,X,,119 957 $,15 787 $
Ahuntsic-Cartierville,Maire d’arrondissement - CM,,25 498 $,,X,,
,"Membre CDEUH - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
,"Membre CEC - CM (fin 24 mars 2014, 5 794 $/année)",,1 318 $,,X,,
,Président CCU - CM,,3 477 $,,X,,
,"Vice-président CT - CMM (début 23 janv. 2014, max2 12 500 $/année réduit à max2 9 750 $/année4)",Max7,9 750 $,,X,,
,Membre CASTM - STM,,21 779 $,X,,,
,"Membre CF, CSA - STM (max3 3 500 $/année réduit à max3 1 502 $/année4)",Max7,1 502 $,,X,,
"PAGÉ, Lorraine",Conseillère de la ville - CM,,52 157 $,X,,57 951 $,15 787 $
Ahuntsic-Cartierville,Membre CDSDM - CM,,5 794 $,,X,,
"THUILLIER, Émilie",Conseillère de la ville - CM,,52 157 $,X,,69 542 $,15 787 $
Ahuntsic-Cartierville,Présidente CEC - CM,,17 385 $,,X,,
"BEAUDRY, Gilles",Conseiller d’arrondissement - CM,,30 134 $,X,,30 134 $,15 067 $
Anjou,,,,,,,
"Di GENOVA ZAMMIT, Michelle",Conseillère d’arrondissement - CM,,30 134 $,X,,39 405 $,15 787 $
Anjou,Membre CEEDDGP - CM,,5 794 $,,X,,
,Présidente CCU - CM,,3 477 $,,X,,
"HÉNAULT, Andrée",Conseillère de la ville - CM,,52 157 $,X,,67 951 $,15 787 $
Anjou,Membre CPC - CM,,5 794 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
"MIRANDA, Luis",Conseiller de la ville - CM,,52 157 $,X,,63 748 $,15 787 $
Anjou,Maire d’arrondissement - CM,,11 591 $,,X,,
,"Membre CSP - CG (fin 5 fév. 2014, max1 5 424 $/année)",,0 $,,X,,
"PERRON, Paul-Yvon",Conseiller d’arrondissement - CM,,30 134 $,X,,30 134 $,15 067 $
Anjou,,,,,,,
"COPEMAN, Russell",Conseiller de la ville - CM,,52 157 $,X,,144 897 $,15 787 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Maire d’arrondissement - CA,,42 180 $,,X,,
,Membre du CE - CM,,41 146 $,,X,,
,Membre du conseil d’agglomération - CG (10 847 $ réduit à 9 414 $4),,9 414 $,X,,,
"McQUEEN, Peter",Conseiller de la ville - CM,,52 157 $,X,,57 951 $,15 787 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre CDEUH - CM,,5 794 $,,X,,
"PEREZ, Lionel",Conseiller de la ville - CM,,52 157 $,X,,144 897 $,15 787 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre du CE - CM ,,41 146 $,,X,,
,"Vice-président CIG - CM (début 25 mars 2014, 11 591 $/année)",,8 955 $,,X,,
,Membre du conseil d’agglomération - CG,,10 847 $,X,,,
,"Président CSADM - CG (début 27 mars 2014, max1 16 271 $/année)",Max1,16 271 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
,"Vice-président CENV - CMM (début 23 janv. 2014, max2 12 500 $/année réduit à max2  5 521 $/année4)",Max2,5 521 $,,X,,
"POPEANU, Magda",Conseillère de la ville - CM,,52 157 $,X,,55 405 $,15 787 $
Côte-des-Neiges–Notre-Dame-de-Grâce,"Présidente CCU - CM (fin 7 déc. 2014, 3 477 $/année)",,3 248 $,,X,,
"ROTRAND, Marvin",Conseiller de la ville - CM,,52 157 $,X,,85 881 $,15 787 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Vice-président CASTM - STM ,,21 779 $,X,,,
,Vice-président CASTM - STM,,5 445 $,,X,,
,Président CSAC - STM,Max3,3 000 $,,X,,
,"Membre CSA, CGEDD - STM",Max3,3 500 $,,X,,
"SEARLE, Jeremy",Conseiller de la ville - CM,,52 157 $,X,,57 951 $,15 787 $
Côte-des-Neiges–Notre-Dame-de-Grâce,Membre CDEUH - CM,,5 794 $,,X,,
"CLOUTIER, Jean-François",Conseiller de la ville - CM,,52 157 $,X,,67 222 $,15 787 $
Lachine,Membre CEC - CM,,5 794 $,,X,,
,Membre CCPS - CM,,5 794 $,,X,,
,Président CCU - CM,,3 477 $,,X,,
"DAUPHIN, Claude",Conseiller de la ville - CM,,52 157 $,X,,115 019 $,15 787 $
Lachine,Maire d’arrondissement - CM,,11 591 $,,X,,
,Membre du conseil d'agglomération - CG ,,10 847 $,X,,,
,"Membre CSADM - CG (début 27 mars 2014, max1 5 424 $/année)",Max1,5 424 $,,X,,
,Membre du conseil - CMM,,10 000 $,X,,,
,Membre du comité exécutif - CMM,,25 000 $,,X,,
,"Membre CDEEMF - CMM (début 23 janv. 2014, max2 7 500 $/année réduit à 0 $5)",,0 $,,X,,
"RACICOT, Daniel",Conseiller d’arrondissement - CA,,37 727 $,X,,37 727 $,15 787 $
Lachine,,,,,,,
"SYMONYIK, Kimberley",Conseillère d’arrondissement - CA,,37 727 $,X,,37 727 $,15 787 $
Lachine,,,,,,,
"VODANOVIC, Maja",Conseillère d’arrondissement - CA,,37 727 $,X,,43 521 $,15 787 $
Lachine,Membre CEEDDGP - CM,,5 794 $,,X,,
"BARBE, Manon",Conseillère de la ville - CM,,52 157 $,X,,90 289 $,15 787 $
LaSalle,Mairesse d'arrondissement - CM,,17 385 $,,X,,
,"Membre CIG - CM (début 25 mars 2014, 5 794 $/année)",,4 476 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,"Membre CSADM - CG (début 27 mars 2014, max1 5 424 $/année)",Max1,5 424 $,,X,,
"BLANCHET, Nancy",Conseillère d’arrondissement - CA,,41 726 $,X,,45 203 $,15 787 $
LaSalle,Présidente CCU - CM,,3 477 $,,X,,
"DECLOS, Serge",Conseiller d’arrondissement - CA,,41 726 $,X,,41 726 $,15 787 $
LaSalle,,,,,,,
"DESCHAMPS, Richard",Conseiller de la ville - CM,,52 157 $,X,,63 745 $,15 787 $
LaSalle,Membre CDEUH - CM,,5 794 $,,X,,
,Membre CEC - CM,,5 794 $,,X,,
"PALESTINI, Laura-Ann",Conseillère d’arrondissement - CA,,41 726 $,X,,47 520 $ ,15 787 $
LaSalle,Membre CFA - CM,,5 794 $,,X,,
"TROILO, Josée",Conseillère d’arrondissement - CA,,41 726 $,X,,41 726 $,15 787 $
LaSalle,,,,,,,
"VALLÉE, Monique",Conseillère de la ville - CM,,52 157 $,X,,111 499 $,15 787 $
LaSalle,Membre du CE - CM ,,41 146 $,,X,,
,Membre du conseil d'agglomération - CG,,10 847 $,X,,,
,"Membre CLS - CMM (début 23 janv. 2014, max2 7 500 $/année)",Max2,7 349 $,,X,,
"FERRANDEZ, Luc",Conseiller de la ville - CM,,52 157 $,X,,77 655 $,15 787 $
Le Plateau-Mont-Royal,Maire d’arrondissement - CM,,25 498 $,,X,,
