id,Nom,Description Long Français,* Arrondissement ou pôle,* Gratuit / Payant,* Intérêts / Type d'événement,* Intérieur / Extérieur,Dates de présentation de l'événement/activité,Lieux
356,(archives)  INTER CONNECT MTL - Londres,"À l’occasion du 375e anniversaire de Montréal, MUTEK présente INTER_CONNECT MTL, une série de 4 événements dédiés aux métropoles culturelles : Mexico, Londres, Berlin et Barcelone.Le festival d’art numérique et de musiques électroniques MUTEK mobilise ses relations avec l’international pour produire une série de quatre événements originaux dédiés à des métropoles culturelles inspirantes : Mexico, Londres, Barcelone et Berlin. Pour chacune des villes ciblées, les événements se tiendront dans différents lieux de Montréal, notamment à la Société des arts technologiques et au Centre Phi. La série INTER_CONNECT MTL comportera des performances audiovisuelles, des collaborations inédites, des soirées nocturnes ainsi que des conférences et projections traitant de la musique, du design, ou encore, de la gastronomie, et ce, toujours à travers le prisme de la créativité numérique.MUTEK invite tous les acteurs de la communauté créative montréalaise à se joindre au projet en nous informant des liens qu’ils entretiennent avec ces métropoles à l’adresse suivante: inter_connectmtl@mutek.org",Ville-Marie,Payant,Musique/Science et technologie,Intérieur,Du 4 au 7 mai 2017,"Société d'arts technologiques, Monument National et Centre Phi"
302,(archives) 375 berceuses pour Montréal,,Ville-Marie,Gratuit,Famille et jeunesse/Musique/Histoire et patrimoine/Événements de quartier,Extérieur,14 juillet au 20 août,Goethe-Institut + espaces publics sur le boulevard St-Laurent
354,(archives) INTER CONNECT MTL - Barcelone,"À l’occasion du 375e anniversaire de Montréal, MUTEK présente INTER_CONNECT MTL, une série de 4 événements dédiés aux métropoles culturelles : Mexico, Londres, Berlin et Barcelone.Le festival d’art numérique et de musiques électroniques MUTEK mobilise ses relations avec l’international pour produire une série de quatre événements originaux dédiés à des métropoles culturelles inspirantes : Mexico, Londres, Barcelone et Berlin. Pour chacune des villes ciblées, les événements se tiendront dans différents lieux de Montréal, notamment à la Société des arts technologiques et au Centre Phi. La série INTER_CONNECT MTL comportera des performances audiovisuelles, des collaborations inédites, des soirées nocturnes ainsi que des conférences et projections traitant de la musique, du design, ou encore, de la gastronomie, et ce, toujours à travers le prisme de la créativité numérique.MUTEK invite tous les acteurs de la communauté créative montréalaise à se joindre au projet en nous informant des liens qu’ils entretiennent avec ces métropoles à l’adresse inter_connectmtl@mutek.org.",Ville-Marie,Gratuit/Payant,Arts visuels/Musique/Science et technologie,Intérieur,Du 5 au 8 octobre 2017,"Société d'arts technologiques, Monument National et Centre Phi"
355,(archives) INTER CONNECT MTL - Mexico,"À l’occasion du 375e anniversaire de Montréal, MUTEK présente INTER_CONNECT MTL, une série de 4 événements dédiés aux métropoles culturelles : Mexico, Londres, Berlin et Barcelone.Le festival d’art numérique et de musiques électroniques MUTEK mobilise ses relations avec l’international pour produire une série de quatre événements originaux dédiés à des métropoles culturelles inspirantes : Mexico, Londres, Barcelone et Berlin. Pour chacune des villes ciblées, les événements se tiendront dans différents lieux de Montréal, notamment à la Société des arts technologiques et au Centre Phi. La série INTER_CONNECT MTL comportera des performances audiovisuelles, des collaborations inédites, des soirées nocturnes ainsi que des conférences et projections traitant de la musique, du design, ou encore, de la gastronomie, et ce, toujours à travers le prisme de la créativité numérique.MUTEK invite tous les acteurs de la communauté créative montréalaise à se joindre au projet en nous informant des liens qu’ils entretiennent avec ces métropoles à l’adresse inter_connectmtl@mutek.org.",Ville-Marie,Gratuit/Payant,Arts visuels/Musique/Science et technologie,Intérieur,Du 6 au 9 avril 2017,"Société d'arts technologiques, Monument National et Centre Phi"
176,"(Pour archive) À RDP/PAT, Fêtons Montréal!",,,,,,Volet 1 : Juin à octobre 2017. Volet 2 : Juillet 2017 : 15-16 et 22-23.  Août 2017 : 5-6-19-20 et 27 . Volet 3 : 26 août 2017. Volet 4 : 16 septembre 2017,"Volet 1 : Maison Pierre-Chatrand. Volet 2 : Parc André-Corbeil-dit-Tranchemontagne, face à la Maison Pierre-Chartrand 8000 boulevard Gouin Est et Parc Aimé-Léonard 4975 boul. Gouin Est, Montréal-Nord. Volet 3 : Parc Alexis-Carrel, 12550, avenue Alexis-Carrel au nord du boulevard Perras. Volet 4 : L'église et le parc St-Joseph, 10050 boulevard Gouin Est."
174,(Pour archive) La Gare de triage d'Outremont : l'empreinte d'une mémoire,,Outremont/Villeray–Saint-Michel–Parc-Extension,Gratuit,Arts visuels/Cinéma et télévision/Histoire et patrimoine/Science et technologie/Famille et jeunesse/Événements de quartier,Intérieur/Extérieur,26 février,Théâtre Outremont
353,(Pour archive) La Gare de triage d'Outremont : l'empreinte d'une mémoire,,,,,,1) 26 février 2017 : Le thème du train dans le cinéma - 2) Juin 2017 : circuit pédestre - 3) 15 Juillet au 15 août 2017 : exposition,1) Théâtre Outremont - 2) Territoire de l'arrondissement d'Outremont - 3) Galerie d'art d'Outremont
179,(Pour archive) La gare de triage d'Outremont: l'empreinte d'une mémoire : Railroad memories,,,,,,voir formulaire principale,voir formulaire principale
430,(Pour archive) Projet La Gare de triage d'Outremont : l'empreinte d'une mémoire,,,,,,"Dimanche 26 février 2017, à  13h","Théâtre Outremont.  1248, av. Bernard Ouest.  Outremont (Qu) H2V 1V6"
379,"(Pour archives) Feu, feu, joli feu - un karaoké des bois",Série de soirées autour d'un feu de camp puisant dans les répertoires de chansons de circonstance pour se rappeler le temps où Montréal était couverte de forêts et sillonnée de cours d'eau.,Outremont,Gratuit,Famille et jeunesse/Musique/Histoire et patrimoine/Événements de quartier,Extérieur,1er janvier,Place Marcelle-Ferron
