nom,ville,adresse_principale,telephone,telephone_numero_poste,arrdondissement,accessibilite,long,lat
"Aréna d'Outremont","Montréal","999, avenue McEachran","5144956211",,"Lachine","Toilettes accessibles",-73.619499,45.520019
"Aréna de Saint-Michel","Montréal","3440, rue Jarry Est","5148723491",,"Lachine","Adapté aux poussettes",-73.606815,45.56529
"Aréna Rolland","Montréal","12000, boulevard Rolland","5143284000","4267","Mercier–Hochelaga-Maisonneuve","Zone de débarcadère pour transport adapté",-73.62073907511964,45.61569551260803
"Aréna Rodrigue-Gilbert","Montréal","1515, boulevard du Tricentenaire","5148726104",,"Le Sud-Ouest","Accessible en fauteuil roulant",-73.500244,45.651922
"Aréna René-Masson","Montréal","9175, boulevard Perras","5148726266",,"Rivière-des-Prairies–Pointe-aux-Trembles","Rampe d'accès",-73.57962,45.652371
"Aréna Raymond-Bourque","Montréal","2345, boulevard Thimens","5149562580","4700","Saint-Léonard","Accessible en fauteuil roulant",-73.705298,45.507514
"Aréna Martin-Brodeur","Montréal","5300, boulevard Robert","5143288500","8499","Ahuntsic-Cartierville","Rampe d'accès",-73.598490893815,45.585343532053
"Aréna Howie-Morenz","Montréal","8650, avenue Querbes","5148726672",,"Saint-Léonard","Toilette accessible en cabine",-73.644042,45.534184
"Auditorium de Verdun","Montréal","4110, boulevard LaSalle","5147657130",,"Rosemont–La Petite-Patrie","Stationnement accessible",-73.562968,45.462396
"Aréna Bill-Durnan","Montréal","4988, rue Vézina","5148726073",,"Anjou","Toilettes accessibles",-73.644088,45.494697
"Bibliothèque William-G.-Boll","Montréal","110, rue Cartier","5146848247",,"Côte-des-Neiges–Notre-Dame-de-Grâce","Accessible en fauteuil roulant avec assistance",-73.814617,45.50267
"Bibliothèque de Pierrefonds","Montréal","13555, boulevard de Pierrefonds","5146261800",,"Ahuntsic-Cartierville","Adapté aux poussettes",-73.847222328186,45.496195210508
"Bibliothèque Robert-Bourassa","Montréal","41, avenue Saint-Just","5144956208",,"Pierrefonds-Roxboro","Ascenseur",-73.608452,45.517934
"Bibliothèque L'Octogone","Montréal","1080, avenue Dollard","5143676376",,"Pierrefonds-Roxboro","Barre d'appui",-73.62360413783053,45.42424326338707
"Bibliothèque Saul-Bellow","Montréal","3100, rue Saint-Antoine","5148725080",,"Outremont","Entrée de plain-pied",-73.691033,45.440449
"Bibliothèque Yves-Ryan","Montréal","4740, rue de Charleroi","5143284000",,"Lachine","Signalisation accessible",-73.631285,45.596396
"Bibliothèque Saint-Henri","Montréal","4707, rue Notre-Dame Ouest","5148722879",,"L'Île-Bizard–Sainte-Geneviève","Toilette accessible en cabine",-73.589737,45.472526
"Bibliothèque Saint-Charles","Montréal","1050, rue d'Hibernia","5148723092",,"Montréal-Nord","Toilettes accessibles",-73.564457,45.478891
"Bibliothèque Père-Ambroise","Montréal","2093, rue de la Visitation","5148721633",,"Le Sud-Ouest","Zone de débarcadère",-73.562746,45.523001
"Bibliothèque Mordecai-Richler","Montréal","5434, avenue du Parc","5148722141",,"Le Sud-Ouest","Rampe d'accès",-73.601661,45.521642
"Bibliothèque Mercier","Montréal","8105, rue Hochelaga","5148728738",,"Ville-Marie","Stationnement accessible",-73.523843,45.595475
"Bibliothèque Marc-Favreau","Montréal","500, boulevard Rosemont","5148727272",,"Mercier–Hochelaga-Maisonneuve","Rampe d'accès",-73.595735,45.531723
"Bibliothèque Maisonneuve","Montréal","4120, rue Ontario Est","5148724213",,"Le Sud-Ouest","Signalisation accessible",-73.540722,45.550621
"Bibliothèque Langelier","Montréal","6473, rue Sherbrooke Est","5148722640",,"Mercier–Hochelaga-Maisonneuve","Zone de débarcadère",-73.544271,45.581644
"Bibliothèque Jean-Corbeil","Montréal","7500, avenue Goncourt","5144938260",,"Villeray–Saint-Michel–Parc-Extension","Adapté aux poussettes",-73.558411,45.602902
