No de dossier ,No de Resolution,Date,Objet,Montant
1112333001,CE11 0145,2011-02-09,"1- d'autoriser le déplacement, du 2 au 6 mars 2011, de M. Claude Dauphin, président du conseil et de M. Michel Bissonnet, membre du comité exécutif, afin d’assister à la réunion du conseil national d'administration de la Fédération canadienne des municipalités (FCM), qui aura lieu à Corner Brook (Terre-Neuve-et-Labrador); 2- d'accorder des avances de fonds aux montants de 1 602 $ à M. Dauphin et de 1 577,48 $ à M. Bissonnet; ","3179,48"
1110983001,CE11 0230,2011-02-23,"1- d’autoriser le déplacement, du 4 au 13 mars 2011, de M. Richard Deschamps, membre du comité exécutif, afin de diriger une délégation économique de Montréal dans le cadre du Marché international des professionnels de l'immobilier (MIPIM), à Cannes du 8 au 11 mars 2011, et afin de visiter un projet de développement urbain à Marseille ainsi qu'à participer à une journée de prospection d'investissements à Paris; 2- d'accorder une avance de fonds de 4 489,86 $ à cette fin;  ","4489,86"
1115287001,CE11 0288,2011-03-09,"1- de ratifier la dépense de 2 055,05 $ relative au déplacement de Monsieur Gérald Tremblay, maire de Montréal, dans le cadre du Sommet national de l'Infrastructure à Régina, les 26 et 27 janvier dernier. ","2055,05"
1112333002,CE11 0644,2011-05-04,"1- d'autoriser M. Claude Dauphin, maire de l'arrondissement de Lachine, à assister au Caucus des maires des grandes villes (CMGV) qui aura lieu à Halifax, Nouvelle-Écosse, le 2 juin 2011; 2- d'autoriser MM. Claude Dauphin, maire de l'arrondissement de Lachine, Michel Bissonnet, membre du comité exécutif et Maurice Cohen, conseiller de l'arrondissement de Saint-Laurent, à assister au 74e Congrès annuel et Expo municipaleMC de la Fédération canadienne des municipalités (FCM) qui aura lieu à Halifax, Nouvelle-Écosse, du 3 au 6 juin 2011; 3- d'appuyer l'élection de M. Claude Dauphin, maire de l'arrondissement de Lachine, à titre de 2e vice-président et membre du conseil national d'administration ainsi que MM. Michel Bissonnet et Maurice Cohen à titre de membres du conseil national d'administration de la FCM pour l'année 2011-2012 et d'assumer les coûts reliés à leur participation aux différentes réunions; 4- d'accorder des avances de fonds aux montants de 3 089,59 $ à M. Claude Dauphin, de 2 760,16 $ à M. Michel Bissonnet et de 2 775,16 $ à M. Maurice Cohen; ","5535,32"
1110701001,CE11 0742,2011-05-18,"1- d’autoriser une dépense de 275 $ relative à la participation de madame Marie Cinq-Mars, mairesse de l'arrondissement d'Outremont et conseillère associée à la culture, au patrimoine et à la condition féminine, au 24e Colloque Les Arts et la Ville à Sainte-Thérèse, du 25 au 27 mai 2011; ",275
1114538002,CE11 0850,2011-06-08,"1- d’autoriser le déplacement de M. Alan DeSousa, vice-président du comité exécutif, afin de participer au conseil d'administration de l'Alliance des villes des Grands Lacs et du Saint-Laurent qui se tiendra à Niagara Falls les 15, 16 et 17 juin 2011; ",1675
1111143002,CE11 1133,2011-08-03,"1- d'autoriser le déplacement, du 6 au 11 septembre 2011, de MM. Claude Dauphin, maire de l'arrondissement de Lachine et Maurice Cohen, conseiller de l'arrondissement de Saint-Laurent, afin d'assister aux réunions du conseil national d'administration de la Fédération canadienne des municipalités (FCM), qui auront lieu à Nelson (Colombie-Britannique) ; 2- d'accorder des avances de fonds de 2 388,31 $ à M. Dauphin et de 2 388,31 $ à M. Cohen ;  ","4776,62"
1115287002,CE11 1366,2011-08-31,"1- de ratifier la dépense de 2 247,06 $, relative au déplacement de M. Gérald Tremblay, maire de Montréal, à Berlin, dans le cadre de la Coupe du monde féminine FIFA 2011 en Allemagne, du 25 au 27 juin 2011;  ","2247,06"
1115287004,CE11 1445,2011-09-14,"1- de ratifier une dépense de 452,83 $ relativement au déplacement de M. Gérald Tremblay, Maire de Montréal, en Haïti dans le cadre d'une mission à Port-au-Prince, du 10 au 13 juillet 2011; ","452,83"
1111143003,CE11 1555,2011-09-28,"1- d’autoriser le déplacement de M. Michel Bissonnet, membre du comité exécutif, au Centre des congrès de Québec afin d'assister aux 70e Assises annuelles de la Fédération Québécoise des Municipalités, les 28 et 29 septembre 2011;  ","611,06"
1111680002,CE11 1556,2011-09-28,"1- d'autoriser le déplacement de M. Gilles Deguire, membre du comité exécutif, afin d'assister au colloque « L'habitat adapté : modalités de production, de gestion et de soutien aux personnes » dans le cadre des Entretiens 2011 du Centre Jacques-Cartier, à Québec, du 3 au 5 octobre 2011; 2- d'autoriser le Service des finances à faire le nécessaire pour qu'une avance de fonds de 475,20 $ soit versée. Le compte de frais, accompagné des pièces justificatives, sera transmis au chef comptable du Service des finances dans les 15 jours ouvrables suivant le retour;  ","475,2"
1110983002,CE11 1562,2011-09-28,"1- d’autoriser une dépense estimée à 1 780 $ relative au déplacement de monsieur Richard Deschamps, vice-président du comité exécutif, afin de participer à la mission commerciale de l'Association des agences de publicité du Québec (AAPQ), à New York, les 4 et 5 octobre 2011;  ",1780
1110701002,CE11 1683,2011-10-19,"1- d’autoriser le déplacement de Mme Helen Fotopulos, membre du comité exécutif responsable de la culture, du patrimoine, du design et de la condition féminine, à Taipei, du 22 au 30 octobre 2011, en vue de sa participation à la mission commerciale réalisée dans le cadre du Taipei World Design Expo;  ","6209,37"
1110942001,CE11 1844,2011-11-16,"1- d'autoriser le déplacement de M. Claude Dauphin, maire de l'arrondissement de Lachine et 2e vice-président de la Fédération canadienne des municipalités (FCM), M. Michel Bissonnet, maire de l'arrondissement de Saint-Léonard et M. Maurice Cohen, conseiller de l'arrondissement de Saint-Laurent, aux réunions du conseil national d'administration de la Fédération canadienne des municipalités, à Ottawa (Ontario), du 28 novembre au 3 décembre 2011; 2- d'accorder des avances de fonds de 2 034,10 $ à M. Dauphin, de 912,70 $ à M. Bissonnet et de 1 747,75 $ à M. Cohen ; 3- d'imputer ces dépenses conformément aux informations financières inscrites au dossier.","4694,55"
1115287005,CE11 1849,2011-11-16,"1- d'autoriser le déplacement de madame Jane Cowell-Poitras, mairesse suppléante, afin de participer au congrès de Metropolis à Porto Alegre, Brésil, du 23 au 26 novembre 2011; 2- d'autoriser une dépense de 70 $ pour couvrir les frais de renouvellement d'urgence de son passeport, tous les autres frais étant assumés par Metropolis et l'Institut international de gestion des grandes métropoles;  ",70
1115287006,CE11 1951,2011-11-30,"1- de ratifier la dépense de 1 968,33 $ relative au déplacement, les 24 et 25 août 2011, de M. Gérald Tremblay, maire de Montréal, à New York, dans le cadre de la présentation des villes candidates en prévision de l'annonce de la ville retenue pour les Jeux mondiaux policiers et pompiers 2017;  ","1968,33"
1114538003,CE11 1957,2011-11-30,"1- d'autoriser une dépense estimée à 1 607,16 $, relative au déplacement de monsieur Alan DeSousa, vice-président du comité exécutif, afin de participer au conseil d'administration de l'Alliance des villes des Grands Lacs et du Saint-Laurent qui se tiendra à Chicago du 2 au 3 décembre 2011 ;  ","1607,16"
1115287007,CE11 2017,2011-12-07,"1- de ratifier la dépense de 3 733,53 $ relative au déplacement de M. Gérald Tremblay, maire de Montréal, à New York, afin de joindre le Conseil Consultatif pour la relance d'Haïti à l'occasion du Conseil Consultatif Présidentiel sur le Développement et l'Investissement du 20 au 21 septembre 2011;  ","3733,53"
1115287008,CE11 2100,2011-12-14,"1- de ratifier la dépense de 6 794,13 $ relative au déplacement, du 23 au 28 octobre 2011, de M. Gérald Tremblay, maire de Montréal, à Erevan, en Arménie, dans le cadre de la 31e Assemblée générale annuelle de l'Association internationale des maires francophones (AIMF) et d'échanges bilatéraux entre Erevan et Montréal; ","6794,13"
