Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Grands_defis_de_societe,Type_de_destinataire,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQS,,2018-2019,s. o.,"SINNETT, DANIEL",5178,Centre hospitalier universitaire Sainte Justine,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,765000,0,765000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,"BISSONNETTE, ELYSE",5214,Institut universitaire de cardiologie et de pneumologie de Québec - Université Laval [IUCPQ],CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,765000,0,765000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,"BRUNETTE, ISABELLE",5221,CIUSSS de l'Est-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,356000,0,356000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,"GODARD, BEATRICE",5225,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,495000,0,495000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,"BOURBONNAIS, DANIEL",5229,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Réseaux thématiques de recherche,RES,Réseaux thématiques de recherche,RES,630000,0,630000,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5230,Centre de recherche de l'IUSM Douglas,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1218252,0,1218252,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5231,CIUSSS du Centre-Ouest-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1744580,0,1744580,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5232,Institut de cardiologie de Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1338695,0,1338695,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5234,CIUSSS de l'Est-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,818784,0,818784,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5235,CIUSSS du Nord-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,895773,0,895773,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5236,CIUSSS du Centre-Sud-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1086413,0,1086413,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5237,CIUSSS de l'Est-de-l'Île-de-Montréal,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,998153,0,998153,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5238,CIUSSS de la Capitale-Nationale,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1011143,0,1011143,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5239,CIUSSS de l'Estrie - CHUS,CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1303754,0,1303754,,Établissement reconnu,,,,,,
FRQS,,2018-2019,s. o.,S. O.,5240,Institut universitaire de cardiologie et de pneumologie de Québec - Université Laval [IUCPQ],CANADA,Québec,Subventions d'infrastructure,Centres de recherche,CEN,Centres de recherche,CEN,1251976,0,1251976,,Établissement reconnu,,,,,,
