Produit_Desc_FR,Produit_Desc_EN,Date_Emission,Valeur_Nominale,Devise_Nominale,Montant_CAD,Taux_type,Taux_Coupon,Taux_Rendement_Investisseur,Date_Echeance,Encours_Cumulatif_CAD,Prefixe,ISIN,Type_Produit_Ref,Type_Produit_Desc_FR,Type_Produit_Desc_EN
"Billets à moyen terme - marché canadien","Medium Term Note - Canadian Program",2016-04-01,370000000,"CAD",397500000,"Fixe",3,1.92,2023-09-01,6370000000,"B110-13","CA74814ZEP41","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché canadien","Medium Term Note - Canadian Program",2016-04-04,500000000,"CAD",507200000,"Fixe",2.5,2.344,2026-09-01,1500000000,"B118-03","CA74814ZEX74","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché australien","Medium Term Note - Australian Program",2016-04-12,35000000,"AUD",34995000,"Fixe",3.7,3.4625,2026-05-20,140000000,"D007-04","AU3CB0234029","3","Emprunts publics.","Public issues."
"Obligations","Debentures",2016-04-20,2000000000,"USD",2517800000,"Fixe",2.5,2.534,2026-04-20,2000000000,"QP-01","US748149AJ05","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché canadien","Medium Term Note - Canadian Program",2016-04-26,500000000,"CAD",505970000,"Fixe",2.5,2.369,2026-09-01,2000000000,"B118-04","CA74814ZEX74","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché australien","Medium Term Note - Australian Program",2016-04-28,60000000,"AUD",58200000,"Fixe",3.7,3.5525,2026-05-20,200000000,"D007-05","AU3CB0234029","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché européen","Medium Term Note - European Program",2016-05-05,540000000,"HKD",89400000,"Fixe",1.95,1.95,2021-05-05,540000000,"E199-01","XS1404844588","4","Emprunts privés.","Private issues."
"Billets à moyen terme - marché australien","Medium Term Note - Australian Program",2016-05-09,40000000,"AUD",39200000,"Fixe",3.7,3.3575,2026-05-20,240000000,"D007-06","AU3CB0234029","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché australien","Medium Term Note - Australian Program",2016-05-09,20000000,"AUD",19600000,"Fixe",3.7,3.3725,2026-05-20,260000000,"D007-06","AU3CB0234029","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché canadien","Medium Term Note - Canadian Program",2016-05-31,500000000,"CAD",546400000,"Fixe",3.5,3.048,2048-12-01,2500000000,"B117-05","CA74814ZEW91","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché canadien","Medium Term Note - Canadian Program",2016-06-13,500000000,"CAD",515300000,"Fixe",2.5,2.164,2026-09-01,2500000000,"B118-05","CA74814ZEX74","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché australien","Medium Term Note - Australian Program",2016-06-30,100000000,"AUD",101800000,"Fixe",3.7,3.0725,2026-05-20,360000000,"D007-07","AU3CB0234029","3","Emprunts publics.","Public issues."
"Billets à moyen terme - marché australien","Medium Term Note - Australian Program",2016-07-19,75000000,"AUD",79300000,"Fixe",3.7,2.74,2026-05-20,435000000,"D007-08","AU3CB0234029","3","Emprunts publics.","Public issues."
