NUMEROTATION,TYPE_DE_SOINS,CODE_INTERVENTION,NOM_INTERVENTION,NOMBRE_DE_CAS-FEM,NOMBRE_DE_CAS-MASC,NOMBRE_DE_CAS-TOTAL,SEJOUR_MOYEN-FEM,SEJOUR_MOYEN-MASC,SEJOUR_MOYEN-TOTAL,NOMBRE_DE_CAS_SEUL-FEM,NOMBRE_DE_CAS_SEUL-MASC,NOMBRE_DE_CAS_SEUL-TOTAL,SEJOUR_MOYEN_SEUL-FEM,SEJOUR_MOYEN_SEUL-MASC,SEJOUR_MOYEN_SEUL-TOTAL,TITRE_RAPPORT,PERIODE,DATE_PRODUCTION,NOTE_1,NOTE_2,NOTE_3
1,"Soins physiques et psychiatriques de courte durée","1.AA.13","Contr hémor méning cerveau                                                                          ",2,3,5,112.0,8.7,50.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
2,"Soins physiques et psychiatriques de courte durée","1.AA.35","Pharm tx méning cerveau                                                                             ",2,0,2,22.0,0.0,22.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
3,"Soins physiques et psychiatriques de courte durée","1.AA.52","Drain méning cerveau                                                                                ",305,688,993,20.7,15.9,17.4,101,327,428,7.7,8.2,8.1,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
4,"Soins physiques et psychiatriques de courte durée","1.AA.53","Impl disp  méning cerveau                                                                           ",9,5,14,31.9,31.4,31.7,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
5,"Soins physiques et psychiatriques de courte durée","1.AA.54","Gest disp int ménin cerv                                                                            ",0,2,2,0.0,24.5,24.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
6,"Soins physiques et psychiatriques de courte durée","1.AA.55","Retr disp méning cerveau                                                                            ",6,3,9,16.0,34.3,22.1,1,0,1,1.0,0.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
7,"Soins physiques et psychiatriques de courte durée","1.AA.80","Répar méning cerveau                                                                                ",523,565,1088,14.4,16.4,15.5,2,0,2,5.5,0.0,5.5,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
8,"Soins physiques et psychiatriques de courte durée","1.AA.87","Exc prt méning cerveau                                                                              ",224,102,326,13.2,13.4,13.3,48,16,64,5.6,8.6,6.4,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
9,"Soins physiques et psychiatriques de courte durée","1.AB.35","Pharm tx sousarachnoïd                                                                              ",0,2,2,0.0,30.0,30.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
10,"Soins physiques et psychiatriques de courte durée","1.AB.52","Drain sousarachnoïd                                                                                 ",7,20,27,13.1,17.9,16.7,0,1,1,0.0,9.0,9.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
11,"Soins physiques et psychiatriques de courte durée","1.AB.54","Gest disp int sousarachno                                                                           ",1,2,3,1.0,2.0,1.7,0,2,2,0.0,2.0,2.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
12,"Soins physiques et psychiatriques de courte durée","1.AB.55","Retr disp sousarachno                                                                               ",0,1,1,0.0,1.0,1.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
13,"Soins physiques et psychiatriques de courte durée","1.AB.86","Fistule ferme sousarachnoïd                                                                         ",36,33,69,8.3,21.2,14.5,2,2,4,13.0,2.5,7.8,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
14,"Soins physiques et psychiatriques de courte durée","1.AB.87","Exc prt sousarachnoïd                                                                               ",2,1,3,4.0,4.0,4.0,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
15,"Soins physiques et psychiatriques de courte durée","1.AC.27","Radioth ventric céréb                                                                               ",0,2,2,0.0,22.5,22.5,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
16,"Soins physiques et psychiatriques de courte durée","1.AC.35","Pharm tx ventric céréb                                                                              ",1,8,9,9.0,67.8,61.2,0,0,0,0.0,0.0,0.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
17,"Soins physiques et psychiatriques de courte durée","1.AC.50","Dilat ventric céréb                                                                                 ",1,1,2,1.0,2.0,1.5,1,0,1,1.0,0.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
18,"Soins physiques et psychiatriques de courte durée","1.AC.52","Drain ventric céréb                                                                                 ",493,529,1022,28.0,26.7,27.3,80,84,164,5.6,6.1,5.8,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
19,"Soins physiques et psychiatriques de courte durée","1.AC.53","Impl disp  ventric céréb                                                                            ",14,21,35,51.1,40.6,44.8,1,0,1,1.0,0.0,1.0,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
20,"Soins physiques et psychiatriques de courte durée","1.AC.54","Gest disp int ventric céréb                                                                         ",93,92,185,21.4,16.7,19.1,36,41,77,5.3,4.3,4.8,"Titre du rapport « S02 - Fréquence des interventions selon le sexe »","Entre 2022/04/01 et 2023/03/31", 2023-08-29,""Les données avec sexe ""indéterminé"" sont incluses dans les totaux seulement."","Les interventions qui constituent des abandons sont exclues.","Cancelled : Intervention annulée alors que l'usager s'est présenté pour sa chirurgie."
